cleaned_position,new_position
Assessment and Transition Program,Assessment and Transition Program Specialist
Assessment Center Monitoring and Support,Assessment Center Monitoring Specialist
Assessment of Payments for Ecosystem Services (PES) in CLM Project Watersheds,Ecosystem Services Assessment Specialist
Assessment Officer,Assessment Officer
Assessment Result and Data Compilation,Assessment Data Compilation Specialist
Assessment Tools and Continuous Assessment Standard Preparation,Assessment Standards Specialist
Assessor,Assessor
Asset and Facility Management Officer,Asset and Facility Management Officer
Asset and Property Manager,Asset and Property Manager
Asset and Resource Manager,Asset and Resource Manager
Asset Care Engineer,Asset Care Engineer
Asset Disposal,Asset Disposal Specialist
asset liabilities operational risk management officer,Asset Liability Operational Risk Management Officer
Asset Liability & Operation Risk Officer,Asset Liability and Operation Risk Officer
Asset Registration Information Management,Asset Registration Information Management
asset registration information management head,Asset Registration Information Management Head
Asset Valuation Analyst,Asset Valuation Analyst
Asset Valuation and Document Preparation Expert,Asset Valuation and Document Preparation Expert
asset valuation and document preparation head,Asset Valuation and Document Preparation Head
Asset Valuation Officer,Asset Valuation Officer
"Asset, Liability & Operational Risk Management Officer","Asset, Liability & Operational Risk Management Officer"
Assignment Assistant,Assignment Assistant
Assistance,Assistant
Assistance Farm Manager,Assistant Farm Manager
Assistant,Assistant
Assistant Agent,Assistant Agent
Assistant and head teacher,Assistant Head Teacher
Assistant and Social Media Manager,Assistant and Social Media Manager
assistant event planner executor,Assistant Event Planner
Assistant Manager,Assistant Manager
Assistant Officer,Assistant Officer
Assistant to C.E.O.,Assistant to CEO
Associate -Business Process Solutions,Associate - Business Process Solutions
Associate ERP functional consultant,Associate ERP Functional Consultant
"Associate, Africa Procurement and Business Development (GAIN Premix Facility)","Associate, Africa Procurement and Business Development"
Associate-Learning & Development,Associate - Learning & Development
astronomer,Astronomer
atc simulator technical system administrator,ATC Simulator Technical System Administrator
athlete biological passport expert,Athlete Biological Passport Expert
athlete development monitoring and support,Athlete Development Monitoring and Support
athletes and professionals development,Athletes and Professionals Development
athletes and sports competitors,Athletes and Sports Competitors
athletic trainers,Athletic Trainer
atmospheric and space scientists,Atmospheric and Space Scientist
"atmospheric, earth, marine, and space sciences teachers, postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teacher, Postsecondary"
Attendant,Attendant
Attendant/Controller,Attendant/Controller
Attorney,Attorney
Attorney and Company Secretary,Attorney and Company Secretary
Attorney and Corporate Counsel,Attorney and Corporate Counsel
Attorney General,Attorney General
Attorney Litigation,Litigation Attorney
"Attorney, Sheriah & Legal Research and Advisory","Attorney, Shariah & Legal Research and Advisory"
Attorney's Assistant,Attorney's Assistant
Auction Specialist,Auction Specialist
audience development,Audience Development
audience development and customer service executive,Audience Development and Customer Service Executive
Audio Advert,Audio Advert
Audio Advertising Professional,Audio Advertising Professional
Audio and Video Editor,Audio and Video Editor
audio and video technicians,Audio and Video Technician
audio and visual service,Audio and Visual Service
Audio Book Narrator,Audiobook Narrator
audio editor,Audio Editor
Audio Engineer Technician,Audio Engineer Technician
Audio Narrator,Audio Narrator
Audio Production Social Media Technician,Audio Production Social Media Technician
audio recording and editing technician,Audio Recording and Editing Technician
audio recording and transcription expert,Audio Recording and Transcription Expert
Audio Recording Specialist,Audio Recording Specialist
"audio recording, sound system, and electronic equipment maintenance expert","Audio Recording, Sound System, and Electronic Equipment Maintenance Expert"
"audio recording, sound system, and electronic equipment maintenance technician","Audio Recording, Sound System, and Electronic Equipment Maintenance Technician"
Audio Technician,Audio Technician
Audio Transcriber,Audio Transcriber
Audio Video Production Intern,Audio Video Production Intern
Audio Visual & Media Documentation Expert,Audio Visual & Media Documentation Expert
Audio Visual Editor,Audio Visual Editor
Audio Visual Officer,Audio Visual Officer
Audio Visual Technician,Audio Visual Technician
Audiobook Director,Audiobook Director
Audiobook Narrator,Audiobook Narrator
audiologists,Audiologist
Audiometry Technician,Audiometry Technician
audiovisual and documentation coordinator,Audiovisual and Documentation Coordinator
audiovisual equipment installers and repairers,Audiovisual Equipment Installer and Repairer
Audiovisual Specialist,Audiovisual Specialist
Audiovisual Technician,Audiovisual Technician
Audit and Assurance Standards,Audit and Assurance Standards
Audit and Compliance Coordinator,Audit and Compliance Coordinator
Audit and Strategy Development,Audit and Strategy Development
Audit Assistant,Audit Assistant
Audit Chief Officer,Audit Chief Officer
Audit Division Manger,Audit Division Manager
Audit Executive,Audit Executive
Audit Finding Monitoring and Report Preparation Auditor,Audit Finding Monitoring and Report Preparation Auditor
Audit Manager,Audit Manager
Audit Report,Audit Report
Audit Service,Audit Service
Audit Service Head,Audit Service Head
Audit Team Leader,Audit Team Leader
"Audit, Risk Management and Compliance Division Head","Audit, Risk Management and Compliance Division Head"
Auditing,Auditor
Auditor,Auditor
Auditor & Control Division Manager,Auditor & Control Division Manager
Auditor & Risk Department Manager,Auditor & Risk Department Manager
Auditor Service Department Deputy Head,Auditor Service Department Deputy Head
Auditor TLMI Ethiopia Accounts,Auditor TLMI Ethiopia Accounts
Authentication Developer,Authentication Developer
Author,Author
Authorization,Authorization
Autistic Child Caretaker,Autistic Child Caretaker
Auto Battery Technician Auto Electrician,Auto Battery Technician Auto Electrician
Auto Body Man,Auto Body Technician
Auto Body Repair and Welder,Auto Body Repair and Welder
Auto Body Shop Controller,Auto Body Shop Controller
Auto Electrician,Auto Electrician
Auto Electrician (Heavy Truck),Auto Electrician (Heavy Truck)
"Auto Garage Manager, Mechanical Execution and Mobile Equipment Maintenance",Auto Garage Manager
Auto Mechanic,Auto Mechanic
Auto Mechanic Technician,Auto Mechanic Technician
Auto Mechanic Trainee,Auto Mechanic Trainee
Auto Technician,Auto Technician
AUTOCAD DESIGN,AutoCAD Designer
Autocad Designer and Machine Operator,AutoCAD Designer
AutoCAD Instructor,AutoCAD Instructor
AutoCAD Revit Draftsman,AutoCAD Revit Draftsman
Autoclave and Sterilization Technician,Autoclave and Sterilization Technician
Autodesk Revit and 3D Max Teacher,Autodesk Revit and 3D Max Teacher
Auto-Electrician,Auto Electrician
Automation,Automation Specialist
Automation and Computer Science Expert,Automation and Computer Science Expert
automation and drive engineer,Automation and Drive Engineer
Automation Engineer,Automation Engineer
Auto-Mechanic,Auto Mechanic
Automotive,Automotive Specialist
Automotive and Watercraft Service Attendants,Automotive and Watercraft Service Attendant
Automotive Body and Related Repairers,Automotive Body Repairer
Automotive Content Writer,Automotive Content Writer
Automotive Development,Automotive Development Specialist
Automotive Electrician,Automotive Electrician
Automotive Engineering Technicians,Automotive Engineering Technician
Automotive Engineers,Automotive Engineer
Automotive Glass Installers and Repairers,Automotive Glass Installer and Repairer
Automotive Manager,Automotive Manager
Automotive Mechanical Engineer,Automotive Mechanical Engineer
Automotive Service Technicians and Mechanics,Automotive Service Technician
Automotive Workshop Manager,Automotive Workshop Manager
Automotive Workshop Supervisor,Automotive Workshop Supervisor
Auxiliary & Machine Mechanic,Auxiliary Machine Mechanic
Auxiliary Machine Mechanic,Auxiliary Machine Mechanic
Auxiliary Machine Operator,Auxiliary Machine Operator
Aviation Business Development and Analysis Director,Aviation Business Development and Analysis Director
Aviation Cartographer,Aviation Cartographer
Aviation Education and Training Quality Management,Aviation Education and Training Quality Manager
Aviation Inspectors,Aviation Inspector
Aviation Medical Assessor,Aviation Medical Assessor
Aviation Personnel and Training Institutions Certification Inspector,Aviation Personnel and Training Institutions Certification Inspector
Aviation Professionals and Training Institutions Competency Certification Chief,Aviation Professionals and Training Institutions Competency Certification Chief
Aviation Professionals and Training Institutions Competency Certification Director,Aviation Professionals and Training Institutions Competency Certification Director
Aviation Professionals and Training Institutions Competency Certification Inspector,Aviation Professionals and Training Institutions Competency Certification Inspector
Aviation Safety Information Analysis Specialist,Aviation Safety Information Analysis Specialist
Aviation Security and Facilitation Inspection Director,Aviation Security and Facilitation Inspection Director
Aviation Security and Facilitation Inspection Team Leader,Aviation Security and Facilitation Inspection Team Leader
Aviation Service Regulatory Expert,Aviation Service Regulatory Expert
aviation technology and manufacturing chief,Aviation Technology and Manufacturing Chief
Aviation Technology and Manufacturing Professional,Aviation Technology and Manufacturing Professional
avionics technicians,Avionics Technician
Award Ceremony Announcer,Award Ceremony Announcer
Awards and Partnership Manager,Awards and Partnership Manager
Awards and Sub Awards Specialist,Awards and Sub Awards Specialist
Awareness Program Development Professional,Awareness Program Development Professional
Awareness Raising Program Preparation,Awareness Raising Program Preparation
AWD Response Regional Coordinator,AWD Response Regional Coordinator
AWS Cloud Engineer,AWS Cloud Engineer
AWS DevOps Engineer,AWS DevOps Engineer
Axillary Mechanic,Axillary Mechanic
AYH Advisor,AYH Advisor
AYSRH Project Manager,AYSRH Project Manager
B2B & B2C Telesales Executive,B2B & B2C Telesales Executive
B2B Lead Generation Specialist,B2B Lead Generation Specialist
B2B Sales Agent,B2B Sales Agent
Babies photo editor,Babies Photo Editor
Baby and Patient Sitter,Baby and Patient Sitter
Baby shower dÃ©cor,Baby Shower Decor
baby sitter (nanny),Babysitter
Babysitter,Babysitter
Bachelor's degree in law,Bachelor's Degree in Law
Baching Plant Operator,Batching Plant Operator
Back End Developer for a Jobboard Website,Back End Developer
Back End Developer(Micro Service Experience ),Back End Developer
Back End Developer(WIth Micro Service Experience ),Back End Developer
Back end Web and app developer,Back End Developer
Back hoe Loader Operator,Backhoe Loader Operator
Backdoor developer for android,Backdoor Developer for Android
Backend / API Developer,Backend Developer
Backend / Fullstack Developer,Backend Developer
backend and frontnd software devloper,Software Developer
Backend Developer,Backend Developer
Backend Developer ( Node.js & MongoDb ) Intern,Backend Developer Intern
Backend Developer (Laravel FW),Backend Developer
Backend Developer | Payment Integrator Expert,Backend Developer
Backend developer with .NET experience,Backend Developer
Backend Developer with JS + Firebase,Backend Developer
Backend Developer with NestJs and/or,Backend Developer
BackEnd Django (Python) developer,Backend Developer
Backend Engineer,Backend Engineer
Backend Node Developer,Backend Developer
Backend Node.js Developer,Backend Developer
Backend PHP Laravel API Developer,Backend Developer
Backend Programmer,Backend Programmer
Backend Python developer,Backend Developer
Backend python developer and cloud engineer,Backend Developer
Backend Software,Backend Developer
Backend System Administrator/Magento and CodeIgniter expert/,Backend System Administrator
Backend Tester,Backend Tester
Backend/API Tester with Django and Django rest framework,Backend API Tester
background paper,Background Paper
Bag Maker,Bag Maker
baggage porters and bellhops,Baggage Porter
Baker,Baker
bakers,Baker
Bakery and Pastry Chef,Bakery and Pastry Chef
Bakery Department Manager,Bakery Department Manager
Bamboo Development and Care Expert,Bamboo Development and Care Expert
Bamboo Development and Maintenance Specialist,Bamboo Development and Maintenance Specialist
Bamboo Seedling Preparation and Handling Expert,Bamboo Seedling Preparation and Handling Expert
Bamboo Tree Seed Supply and Distribution Specialist,Bamboo Tree Seed Supply and Distribution Specialist
Bamboo Utilization and Technology Dissemination Specialist,Bamboo Utilization and Technology Dissemination Specialist
Bamboo Work Professional,Bamboo Work Professional
Bamboo Works,Bamboo Works
Band for music night,Band
Band Manager,Band Manager
Band members,Band Member
Bank Account Reconciliation Officer,Bank Account Reconciliation Officer
Bank Accountant,Bank Accountant
Bank Payment Lead,Bank Payment Lead
Bank Reconciliation Accountant,Bank Reconciliation Accountant
Bank Relationship Officer,Bank Relationship Officer
Bank Trainee,Bank Trainee
Banker,Banker
banking,Banking
Banking Business Officer,Banking Business Officer
Banking Expert,Banking Expert
Banking Officer,Banking Officer
Banking Operation Officer,Banking Operation Officer
Bankruptcy,Bankruptcy
Banks Loans Specialist,Bank Loans Specialist
Banner designer,Banner Designer
Banner machine operator,Banner Machine Operator
Banquet cook,Banquet Cook
bar bender,Bar Bender
Bar Bender Foreman,Bar Bender Foreman
Bar Man,Bar Man
Bar Operator,Bar Operator
Barber and scalp shampoo massager,Barber
Barbers,Barber
Barista,Barista
Baristas,Barista
Barley Supply Chain Manager,Barley Supply Chain Manager
Barman,Barman
Barman / barlady,Barman
Bartender,Bartender
Bartenders,Bartender
Base Finance Manager,Base Finance Manager
Base HR Administrator,HR Administrator
Base Human Resource Manager,Human Resource Manager
Base Logistics & Procurement Coordinator,Logistics and Procurement Coordinator
Base Logistics Officer,Logistics Officer
Base Manager,Base Manager
Basic Computer Instructor,Computer Instructor
Basic Literacy and Numeracy Assessment and Research,Literacy and Numeracy Assessment and Research
Basic Metal Production,Metal Production
Basic Needs and Supply Executive,Needs and Supply Executive
Basic Service,Service
Basic Services and Social Accountability Programs Head,Services and Social Accountability Programs Head
Basin Administration Coordination Head,Basin Administration Coordination Head
Basin Administration Office Head,Basin Administration Office Head
Basin Care,Basin Care
Basin Data Supply,Basin Data Supply
Basin Development and Pre-Flood Prevention Desk Head,Basin Development and Pre-Flood Prevention Desk Head
Basin Institutions Organization,Basin Institutions Organization
Basin Master Plan Awareness and Coordination Desk Head,Basin Master Plan Awareness and Coordination Desk Head
Basin Master Plan Revision and Preparation,Basin Master Plan Revision and Preparation
Basin Model Preparation,Basin Model Preparation
Basin Plan and Water Bodies Safety Desk Head,Basin Plan and Water Bodies Safety Desk Head
Basin Plan Desk Head,Basin Plan Desk Head
Basin Plan Preparation Monitoring and Evaluation,Basin Plan Preparation Monitoring and Evaluation
"Basket ball, ground tennis and football coach",Sports Coach
Basketball Coach,Basketball Coach
Bass guitarist,Bass Guitarist
Batching Plant Casting Sight Coordinator,Batching Plant Casting Sight Coordinator
Batching Plant Concrete Pump Operator,Batching Plant Concrete Pump Operator
Batching Plant Forman,Batching Plant Foreman
Batching Plant Manager,Batching Plant Manager
Batching Plant Mechanic,Batching Plant Mechanic
Batching Plant Operator,Batching Plant Operator
Batching Plant Operator and Mechanic,Batching Plant Operator and Mechanic
Batching Plant Production Coordinator,Batching Plant Production Coordinator
Batchmaker,Batchmaker
Bazeto visual effects Train and Hire Program,Visual Effects Trainee
BCC Officer,BCC Officer
BD Agent,Business Development Agent
Beat Maker ( trap..drill..hip hop beat maker),Beat Maker
Beauty & Fashion Host,Beauty and Fashion Host
Beauty Advisor,Beauty Advisor
Beauty salon for women,Beauty Salon
Beauty Salon General Manager,Beauty Salon General Manager
Beauty Service,Beauty Service
Beauty Vlogger,Beauty Vlogger
Bee and Poultry Breeding Coordinator,Bee and Poultry Breeding Coordinator
Bee and Silk Development Extension,Bee and Silk Development Extension
Bee and Silk Resource Development Desk Head,Bee and Silk Resource Development Desk Head
Bee and Silkworm Seed Supply,Bee and Silkworm Seed Supply
Bee Breed Multiplication,Bee Breed Multiplication
Bee Farm Officer,Bee Farm Officer
Bee Resource Development,Bee Resource Development
Beef Cattle Breeding Team Leader,Beef Cattle Breeding Team Leader
Beekeeper,Beekeeper
Beekeeping Team Leader,Beekeeping Team Leader
Beekeeping Technician,Beekeeping Technician
Beer Production Operator,Beer Production Operator
Begena trainer,Begena Trainer
Beginner Teacher,Beginner Teacher
Beginner woodworker for a furniture house,Beginner Woodworker
Behavior Change Communications Officer,Behavior Change Communications Officer
Belen Language Translator,Belen Language Translator
Bell Boy / Porter,Bell Boy
Bell Captain,Bell Captain
Beneficiary Payment Software Expert,Beneficiary Payment Software Expert
Benefits and Employee Affairs Officer,Benefits and Employee Affairs Officer
Benefits and Entitlements Administration,Benefits and Entitlements Administrator
Bentley Software Trainer,Bentley Software Trainer
"Best Practice, Stories and Video Documentary Production and Photography Service",Documentary and Photography Producer
Beta testers for our app,Beta Tester
Bettaa Design and Print,Design and Print Specialist
Betting app,Betting App Developer
Betting House Ticket Counter,Betting House Ticket Counter
Betting Operator and Mobile Money Operator,Betting Operator
Betting Website,Betting Website Developer
Betting website developer,Betting Website Developer
Beverage Distributor,Beverage Distributor
Beverage Packaging Professional,Beverage Packaging Professional
Beverage Processing Professional,Beverage Processing Professional
Beverage Professional,Beverage Professional
Bicycle Messenger,Bicycle Messenger
Bicycle Rental,Bicycle Rental Agent
Bicycle Repairer,Bicycle Repairer
Bid Document Officer,Bid Document Officer
Bid Document Preparation Expert,Bid Document Preparation Expert
Bid Document Writer,Bid Document Writer
Bid Personnel Officer,Bid Personnel Officer
Bid/Contract Engineer,Bid/Contract Engineer
Big Band Music Composer,Big Band Music Composer
big band music orchestra manager,Big Band Orchestra Manager
big band orchestra band leader,Big Band Orchestra Band Leader
Big Data Analyst,Big Data Analyst
Big Data Encoder and Processor Research and Study Expert,Big Data Research Expert
Big Data Engineer,Big Data Engineer
Big Data Methodologist,Big Data Methodologist
big data methodology,Big Data Methodologist
Bilateral and Regional Integration Trade Linkage,Bilateral and Regional Integration Trade Specialist
Bilateral Cooperation Department Head,Bilateral Cooperation Department Head
Bill and Account Collectors,Bill and Account Collector
Bill of Quantity Specialist for Interior Design Projects,Bill of Quantity Specialist
Billing and Collection Officer,Billing and Collection Officer
Billing and Posting Clerks,Billing Clerk
Billing Clerk,Billing Clerk
Bilogy and Chemistry Laboratory Technician,Biology and Chemistry Laboratory Technician
BIM Modeler (Structural),BIM Modeler (Structural)
Bim Modeler and Graphics Designer,BIM Modeler
Bio Gas Technical Expert,Biogas Technical Expert
Biochemistry,Biochemist
Biochemists and Biophysicists,Biochemist
Biodiversity Monitoring and Assessment Expert,Biodiversity Monitoring and Assessment Expert
Biodiversity Officer,Biodiversity Officer
biodiversity researcher,Biodiversity Researcher
Biodiversity Risk Assessment and Control Expert,Biodiversity Risk Assessment and Control Expert
Biodiversity Status Change Study and Report Preparation,Biodiversity Status Change Analyst
Bio-Emerging Technology Laboratory,Bio-Emerging Technology Laboratory Specialist
Bio-Emerging Technology Laboratory Management,Bio-Emerging Technology Laboratory Manager
Bioenergy Laboratory Expert,Bioenergy Laboratory Expert
Bioenergy Research and Technology Identification,Bioenergy Research Specialist
Bioenergy Research and Technology Selection,Bioenergy Research Specialist
Bio-Energy Technology Development Expert,Bioenergy Technology Development Expert
Bio-Energy Training Expert,Bioenergy Training Expert
bioengineers and biomedical engineers,Biomedical Engineer
bio-fuel technology development expert,Biofuel Technology Development Expert
bio-fuel training expert,Biofuel Training Expert
biofuels processing technicians,Biofuels Processing Technician
biofuels production managers,Biofuels Production Manager
biofuels/biodiesel technology and product development managers,Biofuels Technology Development Manager
bio-gas technology development expert,Biogas Technology Development Expert
bioinformatics scientists,Bioinformatics Scientist
bioinformatics technicians,Bioinformatics Technician
biological drug evaluation,Biological Drug Evaluation Specialist
biological hazards,Biological Hazards Specialist
biological input supply,Biological Input Supply Specialist
biological input supply planning and monitoring expert,Biological Input Supply Planning Expert
biological quality testing laboratory,Biological Quality Testing Laboratory Technician
biological quality testing laboratory analyst,Biological Quality Testing Laboratory Analyst
"biological science teachers, postsecondary",Biological Science Teacher
"biological scientists, all other",Biological Scientist
biological soil and water conservation and integrated forestry,Biological Soil and Water Conservation Specialist
Biological Technicians,Biological Technician
Biological Testing and Consultation,Biological Testing Consultant
Biologist,Biologist
Biology lab technician,Biology Laboratory Technician
Biology Laboratory Technician,Biology Laboratory Technician
Biomass Plant Technicians,Biomass Plant Technician
Biomass Power Plant Managers,Biomass Power Plant Manager
Biomedical Eng,Biomedical Engineer
Biomedical Engineer,Biomedical Engineer
Biomedical Equipment maintenance,Biomedical Equipment Technician
Biomedical Equipment Technician,Biomedical Equipment Technician
Biomedical Science Mentor/Teacher,Biomedical Science Teacher
Biomedical Technician,Biomedical Technician
Biomedical/Chemical Engineer,Biomedical Engineer
Bio-physical Soil and Water Conservation and Participatory Forestry,Bio-physical Soil and Water Conservation Specialist
Biosafety and Invasive Species Control,Biosafety Specialist
Biostatisticians,Biostatistician
Biotech and Pharmaceutical,Biotech Specialist
Biotechnology,Biotechnology Specialist
Biotechnology engineer,Biotechnology Engineer
Biotechnology Laboratory,Biotechnology Laboratory Technician
Bistro Supervisor,Bistro Supervisor
Blasting Technician,Blasting Technician
Blender Artist,Blender Artist
Blender Modelling Artist,Blender Artist
blockchain and cryptocurrency researcher,Blockchain Researcher
Blockchain App and Web Developer,Blockchain Developer
Blockchain Developer,Blockchain Developer
Blockchain Development (solidity),Blockchain Developer
Blockchain Engineers,Blockchain Engineer
Blocking & Plastering Subcontractors,Blocking and Plastering Subcontractor
Blog article and Copywriter,Copywriter
Blood Donor Recruitment and Retention,Blood Donor Recruitment Specialist
Blow Molding Operator,Blow Molding Operator
Blowing and Filler Machine Operator,Blowing Machine Operator
Blowing Machine Operator,Blowing Machine Operator
Blowing Operator Mechanic,Blowing Operator Mechanic
BO-AMS Engineer,BO-AMS Engineer
Board/ Association Secretary,Board Secretary
Body Man,Body Man
Bodygard,Bodyguard
Boiler and Air Compressor operator or Assistant boiler and air compressor operator,Boiler Operator
Boiler operater technician,Boiler Technician
Boiler Operator,Boiler Operator
Boilermakers,Boilermaker
BO-IMS Engineer,BO-IMS Engineer
Bonded Labour,Bonded Labour Specialist
Bonded Ware House Supervisor,Bonded Warehouse Supervisor
Book and reservation and ticketing agent,Booking Agent
Book Binding and Covering,Book Binder
Book Cover and Book InDesign professional,Book Designer
Book cover Artist/illustrator,Book Cover Illustrator
Book publisher,Book Publisher
Book store sales and management,Bookstore Manager
Book translation from english to amharic,Book Translator
Book Translator,Book Translator
Booking and Scheduling Meetings,Scheduling Coordinator
"bookkeeping, accounting, and auditing clerks",Bookkeeping Clerk
Bookstore Sales,Bookstore Sales Associate
Bookworm,Bookworm
Boom Lift/ Scissor operator CET project,Boom Lift Operator
Bord control,Border Control
Border and Transboundary Issues Law,Border and Transboundary Issues Law
Border and Transboundary Rivers,Border and Transboundary Rivers
Bot developer,Bot Developer
Bot development,Bot Developer
Bottled Water Plant Manager,Bottled Water Plant Manager
Bottled Water Technical Manager,Bottled Water Technical Manager
Boundary Enforcement and Resettlement,Boundary Enforcement and Resettlement
Boutique Employee,Boutique Sales Staff
Boutique sales staff,Boutique Sales Staff
Braiding Hair,Braiding Hair
Branch Claim Payment Request Documents Archive,Branch Claim Payment Request Documents Archive
Branch Credit Officer,Branch Credit Officer
Branch Foreign Trade Services Officer,Branch Foreign Trade Services Officer
branch library head,Branch Library Head
Branch Manager,Branch Manager
Branch Manager â€œDâ€ for Kirkos Branch,Branch Manager
Branch Monitoring & Evaluation Officer,Branch Monitoring and Evaluation Officer
branch office head,Branch Office Head
Branch Office Monitoring and Support,Branch Office Monitoring and Support
Branch Office Statistics,Branch Office Statistics
Branch Office Stock and Distribution,Branch Office Stock and Distribution
Branch Offices and Operations Coordination,Branch Offices and Operations Coordination
Branch Offices Coordination,Branch Offices Coordination
branch offices coordination head,Branch Offices Coordination Head
branch offices coordinator and technical service director,Branch Offices Coordinator and Technical Service Director
Branch Operation Manager,Branch Operations Manager
Branch Operation Supervisor,Branch Operations Supervisor
Branch Relationship Manager,Branch Relationship Manager
Branch Sales & Customer Service Officer,Branch Sales and Customer Service Officer
Brand Ambassador,Brand Ambassador
Brand Ambassador for hotel,Brand Ambassador
Brand Ambassador/ Brand Promoter,Brand Ambassador
Brand ambassadors,Brand Ambassador
Brand and Digital Marketing Officer,Brand and Digital Marketing Officer
Brand and Promotion Officer,Brand and Promotion Officer
Brand Book creator / Graphics designer,Graphic Designer
Brand Identity Designer,Brand Identity Designer
Brand logo design for webpage,Graphic Designer
Brand Management Officer,Brand Management Officer
Brand Manager,Brand Manager
Brand Strategist,Brand Strategist
Brand Studio,Brand Studio
branding,Branding Specialist
Branding & Advertising Officer,Branding and Advertising Officer
Branding agency consultant,Branding Consultant
Branding and Promotion Manager,Branding and Promotion Manager
Branding and Talent Attraction Executive,Branding and Talent Attraction Executive
Branding Design for our Printing Company,Branding Designer
BRANDING Development Officer,Branding Development Officer
Branding Expert,Branding Expert
Branding Officer,Branding Officer
Bread and Coffee Waiter,Bread and Coffee Waiter
bread baker,Bread Baker
Bread Seller,Bread Seller
Break Free Project Officer,Break Free Project Officer
Breakfast Home Cook,Breakfast Home Cook
Breakfast Host,Breakfast Host
Breed Animal Technician,Breed Animal Technician
Breed Input Production and Distribution,Breed Input Production and Distribution
Brewing Operator,Brewing Operator
brickmasons and blockmasons,Brickmason and Blockmason
bridge and lock tenders,Bridge and Lock Tender
broadcast announcers and radio disc jockeys,Broadcast Announcer and Radio Disc Jockey
broadcast technicians,Broadcast Technician
BROADCAST TECHNOLOGY TECHNICIAN,Broadcast Technology Technician
Brochure Design,Brochure Designer
Brochures and Stickers for Posters,Brochures and Stickers for Posters
Broker or land owner,Broker or Land Owner
brokerage clerks,Brokerage Clerk
Broschore distribution,Brochure Distributor
brownfield redevelopment specialists and site managers,Brownfield Redevelopment Specialist and Site Manager
Browser Automation For Data Entry,Browser Automation for Data Entry
Bsc nursing or public health officer,BSc Nursing or Public Health Officer
Budding musician and film maker,Budding Musician and Filmmaker
Budget & Grant Finance Manager,Budget and Grant Finance Manager
"Budget Allocation, Salary Scale Research",Budget Allocation and Salary Scale Research
budget analysts,Budget Analyst
Budget and Cost Accountant,Budget and Cost Accountant
Budget and Document Management,Budget and Document Management
budget and finance executive,Budget and Finance Executive
Budget and Inventory Head,Budget and Inventory Head
Budget Development,Budget Development
Budget Division Manager,Budget Division Manager
budget officer,Budget Officer
budget preparation and management department head,Budget Preparation and Management Department Head
Budget Preparation and Monitoring,Budget Preparation and Monitoring
Budgeting and Reporting Coordinator,Budgeting and Reporting Coordinator
Building a Video Streaming Service Using Bubble.io,Building a Video Streaming Service Using Bubble.io
Building admin assistant & Sells,Building Admin Assistant and Sales
Building Administration and Facility Executive,Building Administration and Facility Executive
Building and Other Construction Monitoring and Support,Building and Other Construction Monitoring and Support
Building and Other Sector Legal Framework,Building and Other Sector Legal Framework
Building and Other Sector Legal Framework Expert,Building and Other Sector Legal Framework Expert
Building and Other Sector Policy Study,Building and Other Sector Policy Study
"Building Cleaning Workers, All Other",Building Cleaning Worker
Building Construction Code and Standard Preparation,Building Construction Code and Standard Preparation
building construction management officer,Building Construction Management Officer
building contractor,Building Contractor
Building Electrician (General Maintenance),Building Electrician
Building Engineering,
Building fire system technician,
Building General Foreman,
Building Management Officer,
Building Manager,
Building Projects Alternative Dispute Resolution,
Building Projects Architectural Design Control Expert,
Building Projects Construction Control,
Building Projects Cost Estimation and Standard Bidding Document Control Expert,
Building Projects Design Control,
Building Projects Electrical Design Control Expert,
Building Projects Manager,
Building Projects Mechanical Design Control Expert,
Building Projects Sanitary Design Control Expert,
Building Projects Structural Design Control Expert,
Building Structural Engineer,
Building/Account Manager,
Buildings and Houses Administration Team Leader,
Bullying at Work,
Burger House Manager,
Burger House Waiter,
Burgur and Pizza Waiter and Assistant Shef,
Bus and Truck Mechanics and Diesel Engine Specialists,
Bus Driver / Debre Birhan- Cheki,
"Bus Drivers, School",
"Bus Drivers, Transit and Intercity",
Bus Ticket Officer and Customer Support,
Business account sales executive,
business administration,
Business Administration Lecturer,
Business Advisor,
Business Analysis Officer,
Business Analysis Officer for Addis Ababa,
Business Analyst,
Business and Requirement Analyst,
Business card and flyer distributor for a business,
Business Card Designer,
Business Communication Instructor,
Business Communication Officer,
Business Continuity and Disaster Recovery Engineer,
Business Continuity Planners,
Business Continuity Specialist,
Business Desk Agent,
Business Developer,
Business Development,
Business Development Advisor,
Business Development Analyst,
Business Development and Marketing Manager,
Business Development and Program Quality Manager,
Business Development and Project Planning Expert,
Business Development Expert,Business Development Expert
Business Development Manager,Business Development Manager
Business Development Project Manager,Business Development Project Manager
Business Development Representative,Business Development Representative
Business Development Research Expert,Business Development Research Expert
Business Development Service Expert,Business Development Service Expert
Business Development Service Provider Expert,Business Development Service Provider Expert
Business Development Service Specialist,Business Development Service Specialist
Business Development Services Officer,Business Development Services Officer
Business Information Editor and Writer,Business Information Editor and Writer
Business Insight Analyst,Business Insight Analyst
Business Intelligence Analysts,Business Intelligence Analyst
Business Intelligence and Innovation,Business Intelligence and Innovation
Business Intelligence Developer,Business Intelligence Developer
Business Intelligence Officer,Business Intelligence Officer
Business Operation Manager,Business Operation Manager
business operation officer,Business Operation Officer
Business Operations,Business Operations
