Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
Call for Consultancy Service To Conduct a Rapid Assessment of Challenges Facing Lawyers and Human Rights Organizations working on Strategic Litigation in Ethiopia,በኢትዮጵያ ስትራቴጂካዊ ሙግት ላይ የሚሰሩ የህግ ባለሙያዎች እና የሰብአዊ መብት ድርጅቶች የሚያጋጥሟቸውን ፈተናዎች ፈጣን ግምገማ ለማካሄድ የምክር አገልግሎት ጥሪ,p,,
"Call for consultancy service to conduct project Terminal Evaluation in SNNPR, Wolaita Zone, Boloso Sore and Damot Pulasa districts.",በደቡብ ክልል፣ በወላይታ ዞን፣ በቦሎሶ ሶሬ እና በዳሞት ፑላሳ ወረዳዎች የፕሮጀክት ተርሚናል ግምገማ ለማካሄድ ለአማካሪ አገልግሎት,p,,
Call for consultancy service to conduct salary and benefit survey.,የደመወዝ እና የጥቅም ዳሰሳ ለማካሄድ ለአማካሪ አገልግሎት,p,,
Call for Consultancy Service to conduct Stakeholders Mapping and Needs Assessment,የባለድርሻ አካላት ካርታ እና የፍላጎት ግምገማን ለማካሄድ ለምክር አገልግሎት,p,,
"Call for Consultancy Service - TO CONDUCT TOT ON “ADULT FACILITATION SKILL” FOCUSING ON CONSERVATION AGRICULTURE TRAINING FOR AGRICULTURE EXPERTS IN OROMIA REGIONS, ETHIOPIA",ለምክር አገልግሎት ይደውሉ - በኦሮሚያ ክልል፣ ኢትዮጵያ ላሉ የግብርና ባለሙያዎች ጥበቃ የግብርና ስልጠና ላይ ትኩረት በማድረግ ቶትን ለመምራት “የአዋቂዎች ፋሲሊቲ ክህሎት”,p,,
Call for Consultancy Service To prepare Disability Inclusive WASH SBC Materials in Different Formats,ለአካለ ስንኩልነት የሚያጠቃልለው የንጽህና መጠበቂያ ኤስቢሲ ዕቃዎችን በተለያዩ ቅርጾች ለማዘጋጀት ለምክር አገልግሎት,p,,
Call For Consultancy Service to Support The Ethiopian CSO’s Joint Submission For The 2024 UPR,ለ 2024 UPR የኢትዮጵያ ሲቪል ማህበረሰብ የጋራ ግቤትን ለመደገፍ ለምክር አገልግሎት,p,,
Call for Consultancy Service - Trainining on Leadership & Business Skills,ለምክር አገልግሎት ይደውሉ - በአመራር እና በንግድ ችሎታዎች ላይ ስልጠና,p,,
"Call for Consultancy Study on Cultural Identity, Intersectionality, and Gender In the Somali Regional State, Ethiopia",በኢትዮጵያ ሶማሌ ክልል በባህል ማንነት፣በመገናኛ እና በስርዓተ-ፆታ ላይ የማማከር ጥናት,p,,
Call for consultancy- to develop context specific community conversation facilitator guide for child eye health program,ለአማካሪ ይደውሉ - ለህጻናት የዓይን ጤና ፕሮግራም አውድ የተለየ የማህበረሰብ ውይይት አመቻች መመሪያ ለማዘጋጀት,p,,
Call for Consultancy: To facilitate need – based capacity building training on thematic area related to Youth Care Leavers for the social service workforce,የማማከር ጥሪ፡ ፍላጎትን ለማመቻቸት - ከወጣቶች ክብካቤ ሰጪዎች ጋር በተገናኘ ጭብጥ ላይ የተመሰረተ የአቅም ግንባታ ስልጠና ለማህበራዊ አገልግሎት የሰው ኃይል,,,
Call for Consultants – Development & Production of Project Best Practice Document,ለአማካሪዎች ይደውሉ - የፕሮጀክት ምርጥ ተግባር ሰነድ ልማት እና ማምረት,p,,
consultant to prepare fruit nursery management,የፍራፍሬ የችግኝ ማኔጅመንት የሥልጠና መመሪያ ለማዘጋጀት እና የሆርቲ-ላይፍ ፕሮጀክት የመስክ ሠራተኞች አማካሪ,p,,-
Call for experienced freelancers and experts (individuals or teams) in the creative industry!,በፈጠራ ኢንዱስትሪ ውስጥ ልምድ ላላቸው ነፃ ባለሙያዎች እና ባለሙያዎች (ግለሰቦች ወይም ቡድኖች),p,,
Call for External Auditor TERMS OF REFERENCE FOR GUASSA PROJECT AUDIT OF KKSGRANT FUND,የውጪ ኦዲተር ጥሪ ለጉሳሳ የኪክስግራንት ፈንድ የፕሮጀክት ኦዲት የማጣቀሻ ውሎች,p,,
Call for External Audit service for an International Auditor and/or Audit Firm,ለአለም አቀፍ ኦዲተር እና/ወይም ኦዲት ድርጅት ለውጭ የኦዲት አገልግሎት,p,,
Call for External Gender Expert Consultant,ለውጭ የሥርዓተ-ፆታ ኤክስፐርት አማካሪ,p,,
Call for HMIS Assessment Consultant,ለHMIS ግምገማ አማካሪ,p,,
Call for Individual Consultant for MINE Project Sentinel Surveillance Assignment,ለ MINE ፕሮጄክት ሴንቴል የስለላ ድልድል ለግለሰብ አማካሪ,p,,
Call for individual consultant: Photography and short picture-based video production,ለግል አማካሪ ይደውሉ፡ ፎቶግራፍ እና አጭር ምስል ላይ የተመሰረተ የቪዲዮ ምርት,P,,
Camera and Audiovisual Specialist I,የካሜራ እና ኦዲዮቪዥዋል ስፔሻሊስት I,P,,
Camera and video editor for an ad,ለማስታወቂያ ካሜራ እና ቪዲዮ አርታዒ,P,,
Camera Attendant,የካሜራ ረዳት,P,,
Camera man and photho editor .good skill on adobe phothoshop and adobe prime,የካሜራ ሰው እና የፎቶ አርታኢ .በ adobe phothoshop እና አዶቤ ፕራይም ላይ ጥሩ ችሎታ,P,,
Camera man and social media officer,የካሜራ ሰው እና የማህበራዊ ሚዲያ መኮንን,P,,
"Camera man, Graphics Designer and Editor",የካሜራ ሰው ፣ ግራፊክስ ዲዛይነር እና አርታኢ,P,,
Camera women with her own 5D MARK III / IV Camera,የካሜራ ሴቶች የራሷ 5D MARK III / IV ካሜራ,P,,
Camp Admin,የካምፕ አስተዳዳሪ,P,,
Camp Admin and Security Officer,የካምፕ አስተዳዳሪ እና የደህንነት መኮንን,P,,
Camp & Facility Head,የካምፕ እና ፋሲሊቲ ኃላፊ,P,,
Campus Finance Head,የካምፓስ ፋይናንስ ኃላፊ,P,,
Campus Brand Ambassadors,የካምፓስ ብራንድ አምባሳደሮች,P,,
Campus Head Registrar,የካምፓስ ዋና ሬጅስትር,P,,
Campus HR Representative,የካምፓስ የሰው ኃይል ተወካይ,P,,
Campus Quality Assurance Head,የካምፓስ ጥራት ማረጋገጫ ኃላፊ,P,,
Campus Research and Community Engagement Head,የካምፓስ ምርምር እና የማህበረሰብ ተሳትፎ ኃላፊ,P,,
Candidate Engagement and Partnership Coordinator,የእጩ ተሳትፎ እና አጋርነት አስተባባሪ,P,,
Candidate Engagement and Partnership Manager,የእጩ ተሳትፎ እና አጋርነት አስተዳዳሪ,P,,
Candidate Engagement and Partnership Officer,የእጩ ተሳትፎ እና አጋርነት ኦፊሰር,P,,
Canva designer,የካንቫ ዲዛይነር,P,,
Capacity Building and Communication Officer,የአቅም ግንባታ እና ኮሙኒኬሽን ኦፊሰር,P,,
Capacity Building Assistant,የአቅም ግንባታ ረዳት,P,,
Capacity Building Lead,የአቅም ግንባታ አመራር,P,,
Capacity Building Officer,የአቅም ግንባታ ኦፊሰር,P,,
CAPI Household Listing Operation (CHLO),CAPI የቤተሰብ ዝርዝር ኦፕሬሽን (CHLO),P,,
CAPI Main & Parallel Surveys (MPS),CAPI ዋና እና ትይዩ ዳሰሳዎች (MPS),P,,
Capital Logistics Manager,የካፒታል ሎጅስቲክስ ሥራ አስኪያጅ,P,,
Car Alarm Electrician,የመኪና ማንቂያ ኤሌክትሪክ ባለሙያ,P,,
Car Assembly Shift Supervisor,የመኪና መሰብሰቢያ Shift ተቆጣጣሪ,U,,
Card Banking Officer,የካርድ ባንኪንግ ኦፊሰር,P,,
Cardiologist,የልብ ሐኪም,P,,
Card Personalization Services Officer I ( Contract 5 Months ),የካርድ ግላዊነት ማላበስ አገልግሎት ኦፊሰር,P,,
Car driving trainer,የመኪና መንዳት አሰልጣኝ,P,,
Care and Support Officer,እንክብካቤ እና ድጋፍ መኮንን,P,,
Care Desk Experience Executive,እንክብካቤ ዴስክ ልምድ አስፈፃሚ,P,,
Career and Technical Education Teachers,የሙያ እና የቴክኒክ ትምህርት አስተማሪዎች,P,,
Career & Technical Education Teacher for Primary,የሙያ እና የቴክኒክ ትምህርት መምህር ለአንደኛ ደረጃ,P,,
ሞግዚት (caregiver ),ሞግዚት (ተንከባካቢ),P,,
CARGO DELIVERY & LOGISTICS MANAGER,የካርጎ አቅርቦት እና ሎጂስቲክስ አስተዳዳሪ,P,,
Carnival game provider,የካርኒቫል ጨዋታ አቅራቢ,U,,
Carpentry Workshop Project Manager,የእንጨት ሥራ አውደ ጥናት ፕሮጀክት ሥራ አስኪያጅ,P,,
Car Sales Executives,የመኪና ሽያጭ አስፈፃሚዎች,P,,
"Carton boxes printing, folder gluer machines operator or assistant","የካርቶን ሳጥኖች ማተም, አቃፊ ሙጫ ማሽኖች ኦፕሬተር ወይም ረዳት",P,,
Carton Factory Manager,የካርቶን ፋብሪካ ሥራ አስኪያጅ,P,,
"Cartons boxes printing, folder gluer machines operator OR Assistant carton boxes and folder gluer machine operator.",የካርቶን ሳጥኖች ማተም፣ የአቃፊ ሙጫ ማሽኖች ኦፕሬተር ወይም ረዳት የካርቶን ሳጥኖች እና የአቃፊ ሙጫ ማሽን ኦፕሬተር።,P,,
cartoon / animation design,የካርቱን / አኒሜሽን ንድፍ,P,,
cartoon artist,የካርቱን አርቲስት,P,,
Carve Stone Operator,የድንጋይ ክምር ኦፕሬተር,P,,
Car wash attendant &driver,የመኪና ማጠቢያ ረዳት እና ሹፌር,I,,
ጉዳይ አስፈፃሚ/Case executive,ጉዳይ አስፈፃሚ/ የጉዳይ ሥራ አስፈፃሚ,P,,
Case Executive / ጉዳይ አስፈፃሚ,ጉዳይ አስፈፃሚ /ጉዳይ አስፈፃሚ,P,,
Case worker / Social worker,የጉዳይ ሰራተኛ / ማህበራዊ ሰራተኛ,U,,
Cash and Carry Store Manager,ጥሬ ገንዘብ እና ተሸካሚ መደብር አስተዳዳሪ,P,,
Cash and food Monitoring officer,የገንዘብ እና የምግብ ክትትል መኮንን,P,,
Cash and Voucher Assistance Information Management Officer (Re-Advertised),ጥሬ ገንዘብ እና ቫውቸር እርዳታ መረጃ አስተዳደር ኦፊሰር,P,,
CASH-BASED INTERVENTIONS TECHNICAL ADVISOR (Re-advertisement),በጥሬ ገንዘብ ላይ የተመሰረተ ጣልቃገብነት ቴክኒካል አማካሪ,P,,
Cash collector,ገንዘብ ሰብሳቢ,,,
Cash Digital Systems Business Unit Head,ጥሬ ገንዘብ ዲጂታል ሲስተምስ የንግድ ክፍል ኃላፊ,P,,
casher,ገንዘብ ተቀባይ,P,,
Cashier/Administrative Assistant,ገንዘብ ተቀባይ/የአስተዳደር ረዳት,P,,
cashier and customer service agent for betting,ገንዘብ ተቀባይ እና የደንበኞች አገልግሎት ወኪል ለውርርድ,U,,
Cashier and Data encoder,ገንዘብ ተቀባይ እና የውሂብ መቀየሪያ,P,,
cashier and stock controller,ገንዘብ ተቀባይ እና የአክሲዮን መቆጣጠሪያ,P,,
Cashier at Sport and Virtual Games Betting Shop,ገንዘብ ተቀባይ በስፖርት እና ምናባዊ ጨዋታዎች ውርርድ ሱቅ,P,,
Cashier - Maternity Cover,ገንዘብ ተቀባይ - የወሊድ ሽፋን,P,,
Cashier/receptionist at restaurant,ገንዘብ ተቀባይ / ሬስቶራንት ውስጥ ተቀባይ,P,,
Cashier Secretary,ገንዘብ ተቀባይ ጸሐፊ,P,,
Cashier / Secretary / KG Teachers,ገንዘብ ተቀባይ / ጸሐፊ / KG አስተማሪዎች,P,,
Cashier + stock controller,ገንዘብ ተቀባይ + የአክሲዮን መቆጣጠሪያ,P,,
Cashier using cenet software,ገንዘብ ተቀባይ ሴኔት ሶፍትዌርን በመጠቀም,P,,
"Cash, Market & EWEA Technical Advisor",ጥሬ ገንዘብ፣ ገበያ እና EWEA የቴክኒክ አማካሪ,P,,
Cash & Market Specialist,የገንዘብ እና የገበያ ስፔሻሊስት,P,,
CASH Program Coordinator,የ CASH ፕሮግራም አስተባባሪ,P,,
Cash Transfer Programming Manger - (Re-advertisement),የገንዘብ ማስተላለፍ ፕሮግራሚንግ ሜንጀር,P,,
Casting agent/ባለታሪኮች እና የፕሮግራም ተሳታፊዎች አገናኝ,የመውሰድ ወኪል/ባለታሪኮች እና የፕሮግራም ተሳታፊዎች አገናኝ,P,,
Casting and Location Manager,Casting እና አካባቢ አስተዳዳሪ,P,,
Castle entertainment internet cafe,Castle መዝናኛ ኢንተርኔት ካፌ,P,,
Category Manager Business Services,ምድብ አስተዳዳሪ የንግድ አገልግሎቶች,P,,
Catering Event Manager,የምግብ ዝግጅት ስራ አስኪያጅ,P,,
CBE agent,የኢትዮጵያ ንግድ ባንክ ወኪል,P,,
ለ cbe birr ኦፕሬተርነት,ለ cbe ብርኦፕሬተርነት,P,,
CBE birr ኤጀንት,ንግድ ባንክ ብርኤጀንት,P,,
C++ Blender Unity Revit Developer,C++ Blender Unity Revit ገንቢ,P,,
CCCM Project Coordinator,የCCCM ፕሮጀክት አስተባባሪ,P,,
CCM/E Engagement & Coordination Officer,CCM/E የተሳትፎ እና ማስተባበሪያ ኦፊሰር,P,,
CCNP data center management,CCNP የውሂብ ማዕከል አስተዳደር,P,,
CCR Operator,CCR ኦፕሬተር,P,,
CCTV and Access Control Installer,CCTV እና የመዳረሻ መቆጣጠሪያ ጫኚ,P,,
CCTV Attendant,የ CCTV ረዳት,P,,
CCTV Camera and Networking Expert,የሲሲቲቪ ካሜራ እና የአውታረ መረብ ባለሙያ,P,,
CCTV camera Installation technicians,CCTV ካሜራ የመጫኛ ቴክኒሻኖች,P,,
CCTV/Security Camera Operaror,CCTV/የደህንነት ካሜራ ኦፔራ,P,,
CDT-Africa Postdoctoral Positions,የሲዲቲ-አፍሪካ የድህረ-ዶክትሬት ደረጃዎች,P,,
Center Administrator,ማዕከል አስተዳዳሪ,P,,
Center Coordinator,የመሃል አስተባባሪ,P,,
Center Head,ማዕከል ኃላፊ,P,,
Center Lead- SRH center,የመሃል መሪ - የ SRH ማእከል,P,,
Central Archive and Documentation Officer,ማዕከላዊ ማህደር እና ሰነድ ኦፊሰር,P,,
Central control room operator,የማዕከላዊ መቆጣጠሪያ ክፍል ኦፕሬተር,P,,
Central control system operetor,የማዕከላዊ ቁጥጥር ስርዓት ኦፕሬተር,P,,
Central Data Processor,ማዕከላዊ የውሂብ ፕሮሰሰር,P,,
Central Ethiopia President Advisor for Food System and Nutrition,የመካከለኛው ኢትዮጵያ ፕሬዝዳንት የምግብ ስርዓት እና ስነ-ምግብ አማካሪ,P,,
Central Human Resource Management Assistant Director,የማዕከላዊ የሰው ኃይል አስተዳደር ረዳት ዳይሬክተር,P,,
Centralized Endpoint & Server Management and automation Consultant,የተማከለ የመጨረሻ ነጥብ እና የአገልጋይ አስተዳደር እና አውቶሜሽን አማካሪ,P,,
Central Lab Advisor (1),የማዕከላዊ ቤተ ሙከራ አማካሪ,P,,
Central Materials Warehouse Head,ማዕከላዊ ዕቃዎች መጋዘን ኃላፊ,P,,
Central Region Sales Manager,የማዕከላዊ ክልል የሽያጭ ሥራ አስኪያጅ,P,,
Central Supply Chain Management Advisor,የማዕከላዊ አቅርቦት ሰንሰለት አስተዳደር አማካሪ,P,,
Centre of Excellence Advisor,የልህቀት ማእከል አማካሪ,P,,
CEO/General Manager,ዋና ሥራ አስኪያጅ / ዋና ሥራ አስኪያጅ,P,,
CEO/PMO Director,ዋና ሥራ አስፈፃሚ / PMO ዳይሬክተር,P,,
Ceremony Quality Evaluator Team Leader (Re-Advertised),የክብረ በዓሉ ጥራት ገምጋሚ ​​ቡድን መሪ,P,,
Certification Officer,የምስክር ወረቀት ኦፊሰር,P,,
Certified content provider and translator for VAS company,ለVAS ኩባንያ የተረጋገጠ ይዘት አቅራቢ እና ተርጓሚ,P,,
Certified Free Google Digital Skills,ነጻ የGoogle ዲጂታል ችሎታዎች የተረጋገጠ,P,,
Certified High School Teachers with access to internet needed for short project,ለአጭር ፕሮጄክት የሚያስፈልገው የኢንተርኔት አገልግሎት የተረጋገጠ የሁለተኛ ደረጃ ትምህርት ቤት አስተማሪዎች,P,,
Certified nutritionist,የተረጋገጠ የአመጋገብ ባለሙያ,P,,
CESP (Community Engagement and Sponsorship Program Officer),CESP (የማህበረሰብ ተሳትፎ እና የስፖንሰርሺፕ ፕሮግራም ኦፊሰር),P,,
CFO - Chief Finance Officer,CFO - ዋና የፋይናንስ ኦፊሰር,P,,
Chain Excavator Operator,ሰንሰለት ኤክስካቫተር ኦፕሬተር,P,,
Chairman's & Group CEO's Office Head,የሊቀመንበር እና የቡድን ዋና ሥራ አስፈፃሚ ጽሕፈት ቤት ኃላፊ,P,,
Chair of Landscape Architecture,የመሬት ገጽታ አርክቴክቸር ሊቀመንበር,P,,
Change Management Expert,ለውጥ አስተዳደር ኤክስፐርት,P,,
Change Management Officer,ለውጥ አስተዳደር ኦፊሰር,P,,
Changing word document font to Unicode font,የቃል ሰነድ ቅርጸ-ቁምፊ ወደ ዩኒኮድ ቅርጸ-ቁምፊ መለወጥ,P,,
Channel Admin,የሰርጥ አስተዳዳሪ,P,,
Channel Operators,የሰርጥ ኦፕሬተሮች,P,,
Channel Sales Officer,የሰርጥ ሽያጭ ኦፊሰር,P,,
Channel Sales Represenatative,የሰርጥ ሽያጭ ተወካይ,P,,
Character animations on Adobe aftereffects,በAdobe ላይ የባህሪ እነማዎች ከውጤቶቹ በኋላ,p,,
Character animator,የቁምፊ አኒሜሽን,p,,
Charity Organization Quality Management Auditors,የበጎ አድራጎት ድርጅት የጥራት አስተዳደር ኦዲተሮች,p,,
ChartJS Expert,ChartJS ባለሙያ,p,,
Chef (Traditional and Western Foods) and Pastry Chef,ባህላዊ እና ምዕራባዊ ምግቦች እና ፓስተር ሼፍ,P,,
Chemical Consultant,የኬሚካል አማካሪ,P,,
chemical engineer,የኬሚካል መሐንዲስ,P,,
"Chemical Engineer.Accounting and finance,","የኬሚካል መሐንዲስ.የሂሳብ አያያዝ እና ፋይናንስ,",P,,
Chemical Preparer and Formulator,ኬሚካል አዘጋጅ እና ፎርሙላተር,P,,
chemist,ኬሚስት,P,,
Chemistry Laboratory Technician,የኬሚስትሪ ላቦራቶሪ ቴክኒሻን,P,,
Chemistry Related Researcher,ኬሚስትሪ ተዛማጅ ተመራማሪ,P,,
Chemistry teacher,የኬሚስትሪ መምህር,P,,
Chemistry Teacher for Secondary school,የኬሚስትሪ መምህር ለሁለተኛ ደረጃ ትምህርት ቤት,P,,
Chemistry Teachers,የኬሚስትሪ አስተማሪዎች,P,,
Chemist/Sales / የስፖንጅ ማምረቻ ኬሚካል,ኬሚስት/ሽያጭ/የስፖንጅ ማምረቻ ኬሚካል,P,,
Chicken farmer,የዶሮ ገበሬ,U,,
Chief Carpenter/ Wood worker ,ዋና አናጺ / የእንጨት ሠራተኛ |ቺፍ የፈርኒቸር ባለሞያ,P,,-
Chief Communication & Infrastructure Officer,ዋና ኮሙኒኬሽን እና መሠረተ ልማት ኦፊሰር,P,,
Chief Corporate Officer (CCO),ዋና የኮርፖሬት ኦፊሰር (CCO),P,,
Chief Driller,ዋና ድራይለር,P,,
Chief Economist,ዋና ኢኮኖሚስት,P,,
Chief Geologist,ዋና ጂኦሎጂስት,P,,
Chief ICT Officer,ዋና የአይሲቲ ኦፊሰር,P,,
Chief Internal Audit Manager,ዋና የውስጥ ኦዲት ሥራ አስኪያጅ,P,,
Chief laboratory,ዋና ላቦራቶሪ,P,,
Chief Librarian,ዋና የቤተ-መጻህፍት ባለሙያ,p,,
Chief Livestock Expert,ዋና የእንስሳት እርባታ ባለሙያ,p,,
Chief Manufacturing Industry Group Officer,ዋና የማምረቻ ኢንዱስትሪ ቡድን ኦፊሰር,p,,
Chief Marketing and Branding Manager,ዋና ማርኬቲንግ እና የምርት ስራ አስኪያጅ,p,,
Chief Marketing & Customer Service Officer,ዋና ግብይት እና የደንበኞች አገልግሎት ኦፊሰር,p,,
Chief Officer - Interest Free Banking,ዋና ኦፊሰር - ከወለድ ነፃ የባንክ አገልግሎት,p,,
"Chief Officer, Internal Audit","ዋና ኦፊሰር, የውስጥ ኦዲት",p,,
"Chief Officer, Pharmaceuticals","ዋና ኦፊሰር, ፋርማሲዩቲካልስ",p,,
"Chief of Party, Civic Engagement Activity","የፓርቲ ዋና ኃላፊ, የሲቪክ ተሳትፎ እንቅስቃሴ",p,,
Chief of Party (COP),የፓርቲ ዋና አስተዳዳሪ (ኮፒ),p,,
"Chief of Party, Ethiopia Empowered Communities Activity",የፓርቲ ዋና መሪ፣ ኢትዮጵያ የተመቻቹ ማህበረሰቦች እንቅስቃሴ,p,,
Chief of Programs for Agricultural Transformation,የግብርና ትራንስፎርሜሽን የፕሮግራሞች ዋና ኃላፊ,p,,
Chief Operating Officer (COO),ዋና ኦፕሬቲንግ ኦፊሰር (COO),p,,
Chief Operating Officer (COO) - Agricultural Development,ዋና ኦፕሬቲንግ ኦፊሰር (COO) - የግብርና ልማት,p,,
Chief Operations Manager - COO (Technology Company - ICT Projects),ዋና ሥራ አስኪያጅ - COO (የቴክኖሎጂ ኩባንያ - አይሲቲ ፕሮጀክቶች),p,,
Chief Operations Officer (COO) or Operations Manager,ዋና ኦፕሬሽን ኦፊሰር (COO) ወይም Operations Manager,p,,
Chief Risk and Compliance Officer,የአደጋ እና ተገዢነት ዋና ኃላፊ,p,,
Chief Sales and Marketing Officer,ዋና የሽያጭ እና ግብይት ኦፊሰር,p,,
Chief Security,ዋና ደህንነት,p,,
Chief/Senior Electrician,ዋና / ከፍተኛ ኤሌክትሪክ ባለሙያ,p,,
Chief Social Development Program Officer,ዋና የማህበራዊ ልማት ፕሮግራም ኦፊሰር,p,,
Chief Strategy and Growth Officer (CSGO),ዋና የስትራቴጂ እና የእድገት ኦፊሰር (CSGO),p,,
"Chief Strategy, Marketing and Transformation Officer",ዋና ስትራቴጂ፣ ግብይት እና ትራንስፎርሜሽን ኦፊሰር,p,,
Chief Strategy Officer,ዋና የስትራቴጂ ኦፊሰር,p,,
Chief Technology Officer (CTO),ዋና የቴክኖሎጂ ኦፊሰር (ሲቲኦ),p,,
Chief Transformation Officer,ዋና የትራንስፎርሜሽን ኦፊሰር,p,,
Chief Transport and Logistics Officer,ዋና የትራንስፖርት እና ሎጂስቲክስ ኦፊሰር,p,,
Chief with an article writing skill (Article writer),ዋና በአንቀፅ የመጻፍ ችሎታ (የጽሑፍ ጸሐፊ),p,,
CHILD HEALTH AND IMMUNIZATION SPECIALIST,የልጆች ጤና እና የክትባት ባለሙያ,p,,
Child Protection and Education CPE Assistant Coordinator,የልጆች ጥበቃ እና ትምህርት CPE ረዳት አስተባባሪ,p,,
Child Protection and Gender - Based Violence Prevention Coordinator,የልጆች ጥበቃ እና ጾታ - የተመሰረተ ጥቃት መከላከል አስተባባሪ,p,,
Child Protection and Participation Project Officer,የልጆች ጥበቃ እና ተሳትፎ ፕሮጀክት ኦፊሰር,p,,
Child Protection and Participation Technical Program Coordinator,የልጆች ጥበቃ እና ተሳትፎ ቴክኒካል ፕሮግራም አስተባባሪ,p,,
Child Protection (CP) and GBV Zonal Program Officer,የልጅ ጥበቃ (ሲፒ) እና የጂቢቪ ዞን ፕሮግራም ኦፊሰር,p,,
Child Protection in Emergencies (CPiE) and GBV Zonal Program Coordinator,የህጻናት ጥበቃ በድንገተኛ አደጋዎች (CPiE) እና GBV የዞን ፕሮግራም አስተባባሪ,p,,
Child Protection in Emergencies (CPiE) and GBV Zonal Program Coordinator,በድንገተኛ አደጋ የልጅ ጥበቃ (ሲፒኢ) እና የጂቢቪ ዞን ፕሮግራም አስተባባሪ,p,,
Child Protection in Emergency Officer,በድንገተኛ አደጋ መኮንን ውስጥ የሕፃናት ጥበቃ,p,,
Child protection Information Management System Officer (CPIMS Officer),የሕፃናት ጥበቃ መረጃ አስተዳደር ስርዓት ኦፊሰር (ሲፒኤምኤስ ኦፊሰር),p,,
Child Protection Information Management system Officer (CPISM),የልጅ ጥበቃ መረጃ አስተዳደር ስርዓት ኦፊሰር (CPISM),p,,
Child Protection Specialist (AoR Coordinator) – UNICEF,የሕፃናት ጥበቃ ስፔሻሊስት (AoR አስተባባሪ) - ዩኒሴፍ,p,,
Children and Youth Counselor,የልጆች እና ወጣቶች አማካሪ,p,,
ChineseEnglishAmharic translator,ቻይንኛ እንግሊዝኛ የአማርኛ ተርጓሚ,p,,
Chinese Language Operator,የቻይንኛ ቋንቋ ኦፕሬተር,p,,
Chinese language teacher,የቻይንኛ ቋንቋ መምህር,p,,
Chocolate store sales agent,የቸኮሌት መደብር የሽያጭ ወኪል,p,,
Choreography Dancer,Choreography ዳንሰኛ,p,,
Christian Graphics Designer,ክርስቲያን ግራፊክስ ዲዛይነር,p,,
Christian Singer,ክርስቲያን ዘማሪ,p,,
Chroma Keyer and Clean Up Artist,Chroma Keyer እና አጽዳ አርቲስት,p,,
Chrome Extension developer,Chrome ቅጥያ ገንቢ,p,,
Cilinical Laboratory Technician,ሲሊኒካል ላብራቶሪ ቴክኒሻን,p,,
Cinema4D Artist,Cinema4D አርቲስት,p,,
Cinematographer.,ሲኒማቶግራፈር,p,,
Circuit Board welder,የወረዳ ቦርድ ብየዳ,p,,
Circuit Design and Assembly,የወረዳ ንድፍ እና ስብሰባ,p,,
Circus artist,የሰርከስ አርቲስት,p,,
CISCO Instructors,የ CISCO አስተማሪዎች,p,,
Cisco Networking Engineer / Software Engineer / Java Developer,Cisco አውታረ መረብ መሐንዲስ / ሶፍትዌር መሐንዲስ / Java ገንቢ,p,,
Citizenship and Moral Education Teacher,የዜግነት እና የሞራል ትምህርት መምህር,p,,
Citizenship & Social Studies Teachers,ዜግነት እና ማህበራዊ ጥናቶች አስተማሪዎች,p,,
City Planner,የከተማ ፕላነር,p,,
Civic and Ethical Education Teacher,የሲቪክ እና የስነምግባር ትምህርት መምህር,p,,
Civic and Voter Education (CVE) Campaign Expert,,p,,
Civic Engagement Program Officer,የሲቪክ ተሳትፎ ፕሮግራም ኦፊሰር,p,,
Civics PVA & C.T.E Teacher,የሥነዜጋና ሥነ ዜጋ PVA እና C.T.E መምህር,p,,
Civil/COTM Engineer (Site Engineer),ሲቪል/COTM መሐንዲስ (የጣቢያ መሐንዲስ),p,,
"Civil Engineer, Electrical Engineer, Mechanical Engineer and Electrician Mechanical Technician",ሲቪል መሐንዲስ፣ ኤሌክትሪክ መሐንዲስ፣ መካኒካል መሐንዲስ እና ኤሌክትሪክ መካኒካል ቴክኒሽያን,p,,
Civil Engineer/Infrastructural Engineer,ሲቪል መሐንዲስ / የመሠረተ ልማት መሐንዲስ,p,,
Civil Society Organizations /CSO/ Management Expert,የሲቪል ማህበረሰብ ድርጅቶች /ሲኤስኦ/ የአስተዳደር ኤክስፐርት,p,,
Civil Structural Engineer,ሲቪል መዋቅራዊ መሐንዲስ,p,,
Civil Work Design Engineer,የሲቪል ሥራ ንድፍ መሐንዲስ,p,,
Claim Expert or Contract Engineer,የይገባኛል ጥያቄ ባለሙያ ወይም የኮንትራት መሐንዲስ,p,,
Claims Department Manager,የይገባኛል ጥያቄ መምሪያ አስተዳዳሪ,p,,
Claims Management Officer,የይገባኛል ጥያቄዎች አስተዳደር ኦፊሰር,p,,
Claims Officer/Health Officer,የይገባኛል ጥያቄ መኮንን/የጤና ኦፊሰር,p,,
Classical Piano Teacher,ክላሲካል ፒያኖ መምህር,p,,
Cleaner and Ceramic Tile Joint Filler,ማጽጃ እና የሴራሚክ ንጣፍ የጋራ መሙያ,p,,
Cleaner & Messenger,ማጽጃ እና መልእክተኛ,p,,
Cleaner & Security Supervisor,የጽዳት እና የደህንነት ተቆጣጣሪ,p,,
Cleaning supervisor,የጽዳት ተቆጣጣሪ,p,,
Cleaning Worker,የጽዳት ሰራተኛ,p,,
Clearing and Reconciliation Officer,የማጥራት እና የማስታረቅ ኦፊሰር,p,,
