informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Moroccan bath specialist,የሞሮኮ መታጠቢያ ስፔሻሊስት,P,Service,Hair and beauty care
Motion Grpahics Designer,የእንቅስቃሴ ግራፊክስ ዲዛይነር,P,Tourism and art,Motion Picture Works
Motion picture professional,የእንቅስቃሴ ምስል ባለሙያ,P,Tourism and art,Motion Picture Works
Motor Pool Coordinator II,የሞተር ገንዳ አስተባባሪ II,P,"Logistics, transportation and communication",Other supportive transportation services
Motorist & Messenger,አሽከርካሪ እና መልእክተኛ,I,"Logistics, transportation and communication",Other supportive transportation services
Movie & Playstation Center Assistant,የፊልም እና የፕሌይስቴሽን ማዕከል ረዳት,I,Tourism and art,"Mobile, Theater and; Video film production and distribution"
Movie Organizer,የፊልም አዘጋጅ,U,Tourism and art,Motion Picture Works
Movie poster designer,የፊልም ፖስተር ዲዛይነር,P,Tourism and art,Motion Picture Works
Movie Recap Editor,የፊልም ሪካፕ አርታዒ,P,Tourism and art,Motion Picture Works
movie recap translator,የፊልም ሪካፕ ተርጓሚ,P,Tourism and art,Motion Picture Works
Movie scriptwriter,የፊልም ጸሐፊ,P,Tourism and art,Motion Picture Works
MPC Transfer Officer,የ MPC ማስተላለፍ ኦፊሰር,P,Service,Finance and Administration Services
MPesa Data Collector,MPesa ውሂብ ሰብሳቢ,P,ICT and digital work,Database organization and data processing
MPESA Sales Person,MPESA የሽያጭ ሰው,P,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories"
MPESA Sales supervisor,የMPESA የሽያጭ ተቆጣጣሪ,P,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories"
"MRT, Radiology Technologist","MRT, የራዲዮሎጂ ቴክኖሎጂ ባለሙያ",P,Health,Health
ms Excel programmer,ms ኤክሴል ፕሮግራመር,P,ICT and digital work,Software Design Development and Implementation Works
MS4G Enterprise Growth Advisor,MS4G ኢንተርፕራይዝ እድገት አማካሪ,P,Service,Business Promotion Service
MS4G Enterprise Growth Specialist,MS4G ኢንተርፕራይዝ እድገት ስፔሻሊስት,P,Service,Business Promotion Service
MSC Program Coordinator,የMSC ፕሮግራም አስተባባሪ,P,Service,Special event coordination
MSD – Irrigation officer,MSD - የመስኖ ኦፊሰር,P,Construction,Irrigation system
MT Software,ኤምቲ ሶፍትዌር,P,ICT and digital work,Software Design Development and Implementation Works
Mulesoft/Salesforce Developer,ሙሌሶፍት/የሽያጭ ሃይል ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Multi Sectoral Project Manager-Afar Program Area,የባለብዙ ዘርፍ ፕሮጀክት ስራ አስኪያጅ - የአፋር ፕሮግራም አካባቢ,P,Service,Special event coordination
Oromiffa to English Translator,ኦሮሚፋ ወደ እንግሊዝኛ ተርጓሚ,P,Service,Short-term language training and education
Multipurpose Maintenance Service Worker,ሁለገብ የጥገና አገልግሎት ሠራተኛ,P,Service,General maintenance
Multipurpose Technician,ሁለገብ ቴክኒሻን,P,Service,General maintenance
Multi-Sector Project Manager,ባለብዙ ዘርፍ ፕሮጀክት ሥራ አስኪያጅ,P,Service,Special event coordination
Municipal Infrastructure Engineer,የማዘጋጃ ቤት መሠረተ ልማት መሐንዲስ,P,Economic Infrastructure,Municipality
Mural artist,ሙራል አርቲስት,P,Tourism and art,Culture and Arts Education
Mural painter,የግድግዳ ሰዓሊ,P,Construction,Contractor of paint and decoration works
Music band manager,የሙዚቃ ባንድ አስተዳዳሪ,P,Tourism and art,Music Band
MySQL Database error debugger fixer,MySQL ዳታቤዝ ስህተት አራሚ,P,ICT and digital work,Database organization and data processing
Mystery shopping and Evaluation Department Head,ሚስጥራዊ ግዢ እና ግምገማ መምሪያ ኃላፊ,P,Service,Research and Experimental Development Works on Economics and Development
Nannies for special need students,ልዩ ፍላጎት ላላቸው ተማሪዎች ናኒዎች,P,Service,Social work services
National Advisor on Organization development,የድርጅት ልማት አማካሪ,P,Service,Consulting service around social science
National Advocacy and Communication Manager,ብሄራዊ አድቮኬሲ እና ኮሙኒኬሽን ስራ አስኪያጅ,P,Service,Advertising
National Child Protection and GBV Program Coordinator,ብሔራዊ የሕፃናት ጥበቃ እና የ GBV ፕሮግራም አስተባባሪ,P,Service,Social work services
NATIONAL CONSULTANT FOR THE DEVELOPMENT OF A MIGRATION RESPONSE CENTRE (MRC) MANAGEMENT PACKAGE,የስደተኞች ምላሽ ማዕከል (MRC) ማኔጅመንት ፓኬጅ ልማት ብሔራዊ አማካሪ,P,Service,Consulting service around social science
National Coordinator Sustainable Commercialization of Sexed Dairy Genetics in East Africa,በምስራቅ አፍሪካ የወሲብ የወተት ጀነቲክስ ብሄራዊ አስተባባሪ ዘላቂ ንግድ,P,agriculture,Livestock development
National Dialogue Coordinator - Participation,ብሔራዊ ውይይት አስተባባሪ - ተሳትፎ,P,Service,Consulting service around social science
National ECCE Project Manager,ብሔራዊ ኢሲኢኢ ፕሮጀክት ሥራ አስኪያጅ,P,Service,Special event coordination
National Executive Commissioner,ብሔራዊ ሥራ አስፈፃሚ ኮሚሽነር,P,Service,Management System Certification
National Family Strengthening Program Manager,የብሔራዊ ቤተሰብ ማጠናከሪያ ፕሮግራም ሥራ አስኪያጅ,P,Service,Social work services
National Health and Nutrition Coordinator,ብሔራዊ ጤና እና አመጋገብ አስተባባሪ,P,Health,Health
National Health Laboratory Service Program consultant,የብሔራዊ ጤና ላቦራቶሪ አገልግሎት ፕሮግራም አማካሪ,P,Health,Health
National Human Rights and Advocacy Coordinator,የብሔራዊ ሰብአዊ መብቶች እና አድቮኬሲ አስተባባሪ,P,Service,Social work services
National Immunization Consultant,ብሔራዊ የክትባት አማካሪ,P,Health,Health
National Lead - Ethiopia Civil Society Coalition for Scaling Up Nutrition (ECSC-SUN),ብሔራዊ መሪ - የኢትዮጵያ ሲቪል ማኅበራት ጥምረት ለሥነ-ምግብ ማበልጸግ,P,Health,Health
National Local Procurement Manager,ብሔራዊ የአካባቢ ግዥ አስተዳዳሪ,P,Business,Wholesale business in specialized stores
National Measles Data Manager,ብሔራዊ የኩፍኝ መረጃ አስተዳዳሪ,P,Health,Health
National MHPSS TWG Co-chair,ብሔራዊ MHPSS TWG ተባባሪ ሊቀመንበር,P,Health,Health
National Migration Health Physician,ብሔራዊ ማይግሬሽን የጤና ሐኪም,P,Health,Health
National NTD midterm evaluation consultant,የብሔራዊ NTD የአማካይ ጊዜ ግምገማ አማካሪ,P,Health,Health
National Project Administrator,ብሔራዊ ፕሮጀክት አስተዳዳሪ,P,Service,Special event coordination
National Project Coordinator,ብሔራዊ ፕሮጀክት አስተባባሪ,P,Service,Special event coordination
National Project Coordinator for SRF Project,ለ SRF ፕሮጀክት የብሔራዊ ፕሮጀክት አስተባባሪ,P,Service,Special event coordination
"National Project Coordinator, Youth Care leavers’ project",ብሔራዊ የፕሮጀክት አስተባባሪ፣ የወጣቶች እንክብካቤ ፈቃድ ሰጪዎች ፕሮጀክት,P,Service,Social work services
National Project Manager,ብሔራዊ ፕሮጀክት ሥራ አስኪያጅ,P,Service,Special event coordination
National Project Officer (Emergency Shelter and NFI Sub-National Cluster),የብሔራዊ የፕሮጀክት ኦፊሰር (የአደጋ ጊዜ መጠለያ እና የNFI ንዑስ ብሔራዊ ክላስተር),P,Service,Social work services
National Project Officer -WASH,ብሄራዊ የፕሮጀክት ኦፊሰር - የውሃ ማጠቢያ,P,Economic Infrastructure,Water construction
National Project Support Officer - CVAC,ብሔራዊ የፕሮጀክት ድጋፍ ኦፊሰር,P,Service,Special event coordination
National Rice Flagship Program Coordinator,የብሔራዊ የሩዝ ባንዲራ ፕሮግራም አስተባባሪ,P,agriculture,Agriculture
National Sales & Distributing Manager,ብሔራዊ የሽያጭ እና ስርጭት አስተዳዳሪ,P,Business,Wholesale business in specialized stores
National Senior Expert SME Coaching,ብሔራዊ ሲኒየር ኤክስፐርት SME ማሰልጠን,P,Service,Business Promotion Service
National Senior Finance Expert,ብሔራዊ ከፍተኛ የፋይናንስ ባለሙያ,P,Service,Finance and Administration Services
National Senior Finance Manager,ብሔራዊ ሲኒየር ፋይናንስ ሥራ አስኪያጅ,P,Service,Finance and Administration Services
National Technical Lead-CoE,ብሔራዊ የቴክኒክ አመራር,P,ICT and digital work,Software Design Development and Implementation Works
National Volunteer: Agroforestry Content Creator and Storytelling Associate,ብሄራዊ በጎ ፈቃደኞች፡ አግሮ ደን የይዘት ፈጣሪ እና ተረት ተረት ተባባ,P,agriculture,Forest development and related services
Native Anuak speaker,ቤተኛ የአኝዋክ ተናጋሪ,P,,
Native Arabic Teacher,የአረብኛ ተወላጅ መምህር,P,Service,Short-term language training and education
Native Portuguese Teacher,ቤተኛ ፖርቹጋልኛ መምህር,P,Service,Short-term language training and education
Native Tigrinya speakers,ቤተኛ ትግርኛ ተናጋሪዎች,P,,
Natural Resource Management (NRM) Specialist,ተፈጥሮ ሀብት አስተዳደር (NRM) ስፔሻሊስት,P,agriculture,Forest development and related services
Natural Resource Management Advisor,የተፈጥሮ ሀብት አስተዳደር አማካሪ,P,agriculture,Forest development and related services
Natural Resource Management Project Officer,የተፈጥሮ ሀብት አስተዳደር ፕሮጀክት ኦፊሰር,P,agriculture,Forest development and related services
Natural Science Teacher,የተፈጥሮ ሳይንስ መምህር,P,Education,other
Navis work expert,የናቪስ ሥራ ባለሙያ,P,,
Negotiator and Contract Writer (Drafter),ተደራዳሪ እና ውል ጸሐፊ,P,Service,Other services
Neonatal and Child Health Advisor,የአራስ እና የልጅ ጤና አማካሪ,P,Health,Health
Neonatal Intensive Care Unit Nurse - NICU Nurse),አዲስ የተወለደው የፅኑ እንክብካቤ ክፍል ነርስ,P,Health,Health
Neonatal Nurse,አራስ ነርስ,P,Health,Health
Net & React Native Developer,አውታረ መረብ እና ምላሽ ስጥ ቤተኛ ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Net Desktop app and Win Service Developer,የተጣራ ዴስክቶፕ መተግበሪያ እና የዊን አገልግሎት ገንቢ,P,,
Network & Datacenter Engineer,የአውታረ መረብ እና የውሂብ ማዕከል መሐንዲስ,P,,
Network & Security Engineer,የአውታረ መረብ እና የደህንነት መሐንዲስ,P,,
Network & Security Team Leader,የአውታረ መረብ እና የደህንነት ቡድን መሪ,P,,
Network Admin Expert,የአውታረ መረብ አስተዳዳሪ ኤክስፐርት,P,,
Network Administration Officer I,የአውታረ መረብ አስተዳደር ኦፊሰር I,P,,
Network and CCTV Technician,የአውታረ መረብ አስተዳደር Network and CCTV Technicianኦፊሰር,P,,
Network and Hardware Maintenance officer,የኔትወርክ እና የሃርድዌር ጥገና ኦፊሰር,P,,
Network and Security - Presales Engineer,አውታረ መረብ እና ደህንነት - Presales መሐንዲስ,P,,
Network and server Engineer,የአውታረ መረብ እና አገልጋይ መሐንዲስ,P,,
Network cable installation,የአውታረ መረብ ገመድ መጫን,P,,
Network Cable Technician,የአውታረ መረብ ኬብል ቴክኒሻን,P,,
Networking and electric Line professional,የአውታረ መረብ እና የኤሌክትሪክ መስመር ባለሙያ,P,,
Networking expert,የአውታረ መረብ ባለሙያ,P,,
"Next.js , Blockchain , Web3.0 Developer","Next.js , Blockchain , Web3.0 ገንቢ",P,,
NextJs & Typescript Project,NextJs እና የጽሕፈት ጽሕፈት ፕሮጀክት,P,,
NFT collection Marketer,NFT ስብስብ ማርኬት,P,,
NGO license processing,መንግሥታዊ ያልሆነ ድርጅት የፈቃድ ሂደት,P,Service,Other services
NICU Nurse,NICU ነርስ,P,Health,Health
"NICU nurse, Pediatrics","NICU ነርስ, የሕፃናት ሕክምና",P,Health,Health
Night Auditor,የምሽት ኦዲተር,P,Tourism and art,Hotels and Motels
Night Auditor & Night Manager,የምሽት ኦዲተር እና የምሽት አስተዳዳሪ,P,Tourism and art,Hotels and Motels
Night Chef,የምሽት ሼፍ,P,Tourism and art,"Resturant,Coffee shop"
Night club host,የምሽት ክለብ አስተናጋጅ,P,Tourism and art,"Motels, lodges and traditional restaurants"
Night club Manager,የምሽት ክለብ አስተዳዳሪ,P,Tourism and art,"Motels, lodges and traditional restaurants"
Night club supervisor,የምሽት ክለብ ተቆጣጣሪ,P,Tourism and art,"Motels, lodges and traditional restaurants"
Night Manager & Auditor,የምሽት አስተዳዳሪ እና ኦዲተር,P,Tourism and art,Hotels and Motels
Night public health officer,የምሽት የህዝብ ጤና መኮንን,P,Health,Health
Night receptionist,የምሽት እንግዳ ተቀባይ,P,Tourism and art,Hotels and Motels
Night shift account manager,የምሽት ፈረቃ መለያ አስተዳዳሪ,P,Service,Accounting audit and adminstrative works
Night shift Administration,የምሽት ፈረቃ አስተዳደር,P,Service,Accounting audit and adminstrative works
Night Shift Building Administrator,የምሽት ፈረቃ ሕንፃ አስተዳዳሪ,P,Service,General maintenance
Night shift call center representative,የምሽት ፈረቃ የጥሪ ማእከል ተወካይ,P,Service,Other services
Night shift cashier,የምሽት ፈረቃ ገንዘብ ተቀባይ,P,Business,Mini Market
Night shift cleaner's,የምሽት ፈረቃ ማጽጃ,I,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Night Shift Controller,የምሽት Shift መቆጣጠሪያ,U,Service,Security Service
Night shift front desk,የምሽት ፈረቃ የፊት ጠረጴዛ,P,Tourism and art,Hotels and Motels
Night Shift General Maintenance,የምሽት ፈረቃ አጠቃላይ ጥገና,P,,
night shift outdoor sales,የምሽት ፈረቃ ከቤት ውጭ ሽያጭ,P,,
Night time Photographer,የምሽት ጊዜ ፎቶግራፍ አንሺ,P,,
nightclub DJ,የምሽት ክበብ ዲጄ,U,,
Nightlife Events Coordinator,የምሽት ህይወት ዝግጅቶች አስተባባሪ,P,,
Nightlife Marketing Manager,የምሽት ህይወት ግብይት አስተዳዳሪ,P,,
Nightlife Photographer,የምሽት ህይወት ፎቶ አንሺ,P,,
Nightlife Promoter,የምሽት ህይወት አራማጅ,P,,
Nightlife Special Events and Sales Manager,የምሽት ህይወት ልዩ ዝግጅቶች እና የሽያጭ አስተዳዳሪ,P,,
NOC Administration Officer I,የNOC አስተዳደር ኦፊሰር I,P,,
Node + react redux developer,መስቀለኛ መንገድ + ምላሽ redux ገንቢ,P,,
Node and React (Typescript) developer,መስቀለኛ መንገድ እና ምላሽ (Typescript) ገንቢ,P,,
Node and ReactJs Developer,መስቀለኛ መንገድ እና ReactJs ገንቢ,P,,
Node Backend Developer,መስቀለኛ ጀርባ ገንቢ,P,,
Node Developer,የመስቀለኛ መንገድ ገንቢ,P,,
Node JS,መስቀለኛ መንገድ JS,P,,
Node js (Nest.js) And React.js,መስቀለኛ መንገድ js (Nest.js) እና ምላሽ.js,P,,
Node.js & Telegraf.js Developer,Node.js እና Telegraf.js ገንቢ,P,,
Node.js and React Developer,Node.js እና React ገንቢ,P,,
NonIATA Ticket Agents,የNIATA ቲኬት ወኪሎች,P,,
Non-Surgical Program Coordinator,የቀዶ ጥገና ያልሆነ ፕሮግራም አስተባባሪ,P,,
North Operations Manager,የሰሜን ኦፕሬሽን ሥራ አስኪያጅ,P,,
"NORTH WOLLO ZONE ZONAL PROGRAM COORDINATOR – HIGHLAND RESILIENCE ACTIVITY: TIGRAY REGION, ETHIOPA",የሰሜን ወሎ ዞን ዞን የፕሮግራም አስተባባሪ - ከፍተኛ የመቋቋም እንቅስቃሴ,P,,
Norwegian language teacher,የኖርዌይ ቋንቋ መምህር,P,,
NPFS Officer,NPFS መኮንን,P,,
NPFS Senior Program Manager (Ethiopia),NPFS ሲኒየር ፕሮግራም አስተዳዳሪ,P,,
NPM Project Leader,NPM ፕሮጀክት መሪ,P,,
NRM & Climate Services Specialist,NRM እና የአየር ንብረት አገልግሎት ስፔሻሊስት,P,,
NRM & Livelihood Officer,NRM እና ኑሮን መምራት,P,,
NRM and Climate Services Coordinator,NRM እና የአየር ንብረት አገልግሎቶች አስተባባሪ,P,,
NRM/PW & Environment Facilitator,NRM/PW እና አካባቢ አመቻች,P,,
"NTD Program, Trachoma Technical Assistant",NTD ፕሮግራም፣ ትራኮማ ቴክኒካል ረዳት,P,,
Nuer language native speaker,የኑዌር ቋንቋ አፍ መፍቻ,P,,
Nursery Section Head,የመዋዕለ ሕፃናት ክፍል ኃላፊ,P,,
Nursery Supervisor,የመዋዕለ ሕፃናት ተቆጣጣሪ,P,,
Nursing Coordinator/Matron,የነርሲንግ አስተባባሪ/ማትሮን,P,,
Nurturing Care Group Coordinator,እንክብካቤ ቡድን አስተባባሪ,P,,
Nutrition Advisor,የአመጋገብ አማካሪ,P,,
Nutrition and Agriculture Expert Consultant,የአመጋገብ እና የግብርና ባለሙያ አማካሪ,P,,
Nutrition and Gender Officer,የአመጋገብ እና የሥርዓተ-ፆታ ኦፊሰር,P,,
Nutrition and Health Program Manager,የአመጋገብ እና የጤና ፕሮግራም አስተዳዳሪ,P,,
"Nutrition and School Feeding Specialist, Comprehensive Home-grown, Inclusive, Learning and Development School Feeding Project II (CHILD SFP II)",የተመጣጠነ ምግብ እና የትምህርት ቤት አመጋገብ ስፔሻሊስት፣ አጠቃላይ በቤት ውስጥ ያደገ፣ አካታች፣ መማር እና ልማት ትምህርት ቤት መመገብ ፕሮጀክት,P,,
Nutrition and WASH Coordinator,የአመጋገብ እና የንጽህና አጠባበቅ አስተባባሪ,P,,
Nutrition assistant,የአመጋገብ ረዳት,P,,
Nutrition Coordinator,የአመጋገብ አስተባባሪ,P,,
Nutrition Expert-Deputy Head of Department,የአመጋገብ ባለሙያ - የመምሪያው ምክትል ኃላፊ,P,,
Nutrition Field Worker,የአመጋገብ መስክ ሰራተኛ,P,,
Nutrition Intern,አመጋገብ ልምምድ,P,,
Nutrition Lecturer,የአመጋገብ መምህር,P,,
Nutrition Manager,የአመጋገብ አስተዳዳሪ,P,,
Nutrition Monitoring & Survey Specialist,የአመጋገብ ክትትል እና የዳሰሳ ጥናት ባለሙያ,P,,
Nutrition officer,የአመጋገብ መኮንን,P,,
Nutrition/SBC Officer,የአመጋገብ/የኤስቢሲ ኦፊሰር,P,,
Nutritionist,የአመጋገብ ባለሙያ,P,,
Nutritionist and counseling psychologist,የስነ-ምግብ ባለሙያ እና የምክር ሳይኮሎጂስት,P,,
Nutritionist and Dietician,የአመጋገብ ባለሙያ እና የአመጋገብ ባለሙያ,P,,
Nutrition-Social and Behavioral Change Specialist,የተመጣጠነ ምግብ - የማህበራዊ እና የባህርይ ለውጥ ስፔሻሊስት,P,,
ob Title: SEO expert,ob ርዕስ: SEO ባለሙያ,P,,
OBGN Specialist,OBGYN ስፔሻሊስት,P,,
Occupational Health Advisor,የሙያ ጤና አማካሪ,P,,
Occupational health and safety officer,የሙያ ጤና እና ደህንነት መኮንን,P,,
Occupational Health Nurse,የሙያ ጤና ነርስ,P,,
Occupational Safety Officer,የሙያ ደህንነት መኮንን,P,,
Occupational Safety Specialist,የሙያ ደህንነት ስፔሻሊስት,P,,
"Occupational, Behavioral or Speech Therapist","የሙያ, የባህሪ ወይም የንግግር ቴራፒስት",P,,
ODA Officer (Development Assistance Officer),የኦዲኤ ኦፊሰር (የልማት ድጋፍ ኦፊሰር),P,,
Odd Maintainer / Data Encoder,ያልተለመደ ማቆያ / የውሂብ ኢንኮደር,P,,
Odoo ERP customization,የኦዱ ኢአርፒ ማበጀት,P,,
Odoo erp developer,የኦዱ ኢርፕ ገንቢ,P,,
Odoo ERP functional consultant,የኦዱ ኢአርፒ ተግባራዊ አማካሪ,P,,
Odoo Expert,ኦዱ ኤክስፐርት,P,,
Odoo Functional Consultant,ኦዱ ተግባራዊ አማካሪ,P,,
Odoo functional/technical junior consultant,ኦዱ ተግባራዊ/የቴክኒክ ጁኒየር አማካሪ,P,,
Odoo Software Developer,የኦዱ ሶፍትዌር ገንቢ,P,,
Off Farm and Youth Specialist,ከእርሻ ውጪ እና የወጣቶች ስፔሻሊስት,P,,
OFF- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,ግብርና ኢንተርፕራይዝ ቴክኒካል ልዩ ባለሙያ - ሃይላንድስ የመቋቋም እንቅስቃሴ,P,,
Office assistant with BASIC GRAPHICS SOFTWARE SKILL,የመሠረታዊ ግራፊክስ ሶፍትዌር ችሎታ ያለው የቢሮ ረዳት,P,,
Office assistant with basic photoshop skill,ከመሠረታዊ የፎቶሾፕ ችሎታ ጋር የቢሮ ረዳት,P,,
Office Equipment Officer,የቢሮ እቃዎች ኦፊሰር,P,,
Office equipment repair and maintainance,ቢሮ እቃዎች ጥገና እና ጥገና,P,,
Office Equipment Technician,ቢሮ እቃዎች ቴክኒሻን,P,,
Office Furniture Designer,የቢሮ ዕቃዎች ዲዛይነር,P,,
Office Furniture Sales Supervisor,የቢሮ ዕቃዎች ሽያጭ ተቆጣጣሪ,P,,
Office girl and messenger,የቢሮ ሴት እና መልእክተኛ,P,,
Office Manager and Admin,የቢሮ አስተዳዳሪ እና አስተዳዳሪ,P,,
Office Manager and Communications Specialist,የቢሮ ሥራ አስኪያጅ እና የግንኙነት ባለሙያ,P,,
Office manager and contact person,የቢሮ ሥራ አስኪያጅ እና የእውቂያ ሰው,P,,
Office Manager and Executive Assistant,የቢሮ ሥራ አስኪያጅ እና ሥራ አስፈፃሚ ረዳት,P,,
Office manager and Graphics,የቢሮ ሥራ አስኪያጅ እና ግራፊክስ,P,,
Office Registrar,የቢሮ መዝጋቢ,P,,
Office Sales Consultant,የቢሮ ሽያጭ አማካሪ,P,,
Office Sales Person,የቢሮ ሽያጭ ሰው,P,,
Office Security,የቢሮ ደህንነት,U,,
Office Shatter/Blinds worker,(ሻተር ሰራተኛ,P,,
Office Solutions (Furniture) Division Head,የቢሮ መፍትሄዎች (የቤት እቃዎች) ክፍል ኃላፊ,P,,
Office stationary product sales,የቢሮ ቋሚ ምርት ሽያጭ,P,,
Office Structural Engineer,የቢሮ መዋቅራዊ መሐንዲስ,P,,
Office Supplies Purchaser,የቢሮ ዕቃዎች ገዢ,P,,
Office supply manager,የቢሮ አቅርቦት ኃላፊ,P,,
Officer - ATM Services,ኦፊሰር - የኤቲኤም አገልግሎቶች,P,,
Officer Dispute Management - For Omni channel Dep’t,ኦፊሰር ክርክር አስተዳደር,P,Service,Other services
Officer Fund Management,ኦፊሰር ፈንድ አስተዳደር,P,Service,Finance and Administration Services
Officer Furniture Sales Designer,ኦፊሰር የቤት ዕቃዎች ሽያጭ ዲዛይነር,P,Business,Home and Office Furniture Decorations & Utilities Retail
Officer Import Services,ኦፊሰር አስመጪ አገልግሎቶች,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Officer Property Management,ኦፊሰር ንብረት አስተዳደር,P,Service,Estimating the cost of housing sales and collecting rental income
Officer Remittance,ኦፊሰር ማስተላለፍ,P,Service,Finance and Administration Services
"Officer, Child Protection","መኮንን, የልጅ ጥበቃ",P,Service,Social work services
"Officer, Information Technology Risk","ኦፊሰር, የኢንፎርሜሽን ቴክኖሎጂ ስጋት",P,Service,Information and Communication Technology Consulting Service
"Officer, Operational Risk","ኦፊሰር, የክወና ስጋት",P,Service,Quality Management Consulting Service
"Officer, Permit","ኦፊሰር, ፍቃድ",P,Service,Other services
OHS Officer,የኦኤችኤስ ኦፊሰር,P,Service,Occupational Safety and Health Care Consulting Service
Oil Machin supervisor,የነዳጅ ማሽን ተቆጣጣሪ,P,Manufacturing,Manufacturing of cooking oil
Oilseeds Supply Chain Manager / Center Manager,የቅባት እህሎች አቅርቦት ሰንሰለት አስተዳዳሪ / ማዕከል አስተዳዳሪ,P,Business,Wholesale of agricultural products for raw materials
Old Tax Debt Tracking Specialist,የድሮ የታክስ ዕዳ መከታተያ ስፔሻሊስት,P,Service,Finance and Administration Services
ON- FARM ENTERPRISE SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,በግብርና ኢንተርፕራይዝ ላይ ልዩ ባለሙያ - ሃይላንድስ የመቋቋም እንቅስቃሴ,P,agriculture,Mixed agriculture
ON- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,በእርሻ ላይ ኢንተርፕራይዝ ቴክኒካል ስፔሻሊስት - ሃይላንድስ የመቋቋም እንቅስቃሴ,P,agriculture,Mixed agriculture
Online and call agents,የመስመር ላይ እና የጥሪ ወኪሎች,U,Service,Other services
Online Child care(Parenting) Coaching,የመስመር ላይ የልጅ እንክብካቤ(የወላጅነት) ማሰልጠኛ,P,Service,Social work services
Online Computer science teacher,የመስመር ላይ የኮምፒውተር ሳይንስ መምህር,P,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Online Course Curator,የመስመር ላይ ኮርስ ጠባቂ,P,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Online course developer,የመስመር ላይ ኮርስ ገንቢ,P,Education,other
Online Fashion Customer Support Representative,የመስመር ላይ ፋሽን የደንበኛ ድጋፍ ተወካይ,P,Service,Other services
Online Freelance Marketing,የመስመር ላይ የፍሪላንስ ግብይት,P,Service,Advertising
Online Product Lister,የመስመር ላይ ምርት ዝርዝር,U,Business,Retail trade in specialized stores
Online Program Coordinator,የመስመር ላይ ፕሮግራም አስተባባሪ,P,Service,Other services
Online promoter,የመስመር ላይ አስተዋዋቂ,P,Service,Advertising
Online Sales Agent,የመስመር ላይ የሽያጭ ወኪል,P,Business,Retail trade in specialized stores
Online Volunteerism,የመስመር ላይ በጎ ፈቃደኝነት,U,Service,Social work services
Operation Center Coordinator,የክወና ማዕከል አስተባባሪ,P,Service,Other services
Operation Department Manager,ኦፕሬሽን ዲፓርትመንት ሥራ አስኪያጅ,P,Service,Other services
Operation Head,ኦፕሬሽን ኃላፊ,P,Service,Other services
Operational Budget Preparation and Control Expert,የክዋኔ በጀት ዝግጅት እና ቁጥጥር ባለሙያ,P,Service,Finance and Administration Services
Operations and Digital Support Coordinator,ኦፕሬሽኖች እና ዲጂታል ድጋፍ አስተባባሪ,P,ICT and digital work,General research and experimental development work
Operations and Fleet Management Deputy-Manager,ኦፕሬሽንስ እና ፍሊት አስተዳደር ምክትል ሥራ አስኪያጅ,P,"Logistics, transportation and communication",Other supportive transportation services
Operations and Procurement Coordinator,ኦፕሬሽን እና ግዥ አስተባባሪ,P,Service,Other services
Operations Manager for Delivery Company,የማስረከቢያ ኩባንያ ኦፕሬሽን ሥራ አስኪያጅ,P,"Logistics, transportation and communication",Other supportive transportation services
Operations Supervisor,ኦፕሬሽንስ ተቆጣጣሪ,P,Service,Other services
Operations Support Manager,የክዋኔዎች ድጋፍ አስተዳዳሪ,P,Service,Other services
Operator and elecrician,ኦፕሬተር እና ኤሌክሪሲያን,P,Service,Equipment and machine installation and maintenance service
Operator Mechanic,ኦፕሬተር መካኒክ,P,Service,Equipment and machine installation and maintenance service
Opportunity Coordinator Intern,የዕድል አስተባባሪ ኢንተር,P,Service,Other services
Optic Fibre Cable Designers/Planners,ኦፕቲክ ፋይበር ኬብል ዲዛይነሮች/ፕላነሮች,P,ICT and digital work,Computer network design deployment and implementation tasks
Optic Fibre Cable Splicers,ኦፕቲክ ፋይበር ኬብል ስፕላስተሮች,P,ICT and digital work,Installation and maintenance of telecommunication external cable installation
Optical salesperson,የኦፕቲካል ሻጭ,P,Business,Retail trade in specialized stores
Optometrist,የዓይን ሐኪም,P,Health,Health
Oracle APEX developer,Oracle APEX ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Order picker/ Warehouse activity operator,ትዕዛዝ መራጭ/ የመጋዘን እንቅስቃሴ ኦፕሬተር,U,"Logistics, transportation and communication",Stroage and warehousing service
Order Processing Officer,የትዕዛዝ ማቀነባበሪያ ኦፊሰር,P,Service,Other services
Order taker,ትእዛዝ ሰጪ,U,Service,Other services
Order taker and Display (caker),ትዕዛዝ አቅራቢ እና ማሳያ (ኬከር),U,Service,Other services
