informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
Asphalt Plant and Batching Plant Supervisor,አስፋልት ተክል እና ባቲንግ ተክል ተቆጣጣሪ,p,,,,
Asphalt Plant Electrician,የአስፋልት ተክል ኤሌክትሪክ ባለሙያ,p,,,,
Asphalt Plant Mechanic and Operator,አስፋልት ተክል መካኒክ እና ኦፕሬተር,p,,,,
Asphalt Plant Operator and Foreman,አስፋልት ፕላንት ኦፕሬተር እና ፎርማን,p,,,,
Asphalt Plant Operator Mechanic,የአስፋልት ተክል ኦፕሬተር መካኒክ,P,,,,
Asphalt Roller Operator,አስፋልት ሮለር ኦፕሬተር,P,,,,
Asphalt Steel Roller Operator,አስፋልት ብረት ሮለር ኦፕሬተር,P,,,,
ASP.NET MVC Developer to help me complete my project,ፕሮጄክቴን እንዳጠናቅቅ የሚረዳኝ ASP.NET MVC ገንቢ,P,,,,
"Ass. Division Manager, Automotive Sales","አስ. ክፍል አስተዳዳሪ, አውቶሞቲቭ ሽያጭ",P,,,,
Assembly Technician Interns,የመሰብሰቢያ ቴክኒሽያን ኢንተርናሽናል,P,,,,
Assessment and Quality Assurance Officer,የግምገማ እና የጥራት ማረጋገጫ ኦፊሰር,P,,,,
Assessment & Examination Unit Head,ግምገማ እና ፈተና ክፍል ኃላፊ,P,,,,
Assessment of Payments for Ecosystem Services (PES) in CLM Project Watersheds,በCLM ፕሮጀክት የውሃ ማጠራቀሚያዎች ውስጥ ለሥነ-ምህዳር አገልግሎቶች (PES) ክፍያዎች ግምገማ,P,,,,
Assessor (Duty and Tax Expert),ገምጋሚ (ተረኛ እና የታክስ ኤክስፐርት),P,,,,
Assessor (Job by - Unity Business Group),ገምጋሚ (ሥራ በ - አንድነት ቢዝነስ ቡድን),P,,,,
Assessor/ Logistics Officer,ገምጋሚ/ የሎጂስቲክስ ኦፊሰር,P,,,,
Assessor or Air Ticket Agent,ገምጋሚ ወይም የአየር ትኬት ወኪል,P,,,,
Assessor/ Transistors,ገምጋሚ/ ትራንዚስተሮች,P,,,,
Asset and Facility Management Officer,የንብረት እና ፋሲሊቲ አስተዳደር ኦፊሰር,P,,,,
Asset and Property Manager,የንብረት እና ንብረት አስተዳዳሪ,P,,,,
Asset Care Engineer,የንብረት እንክብካቤ መሐንዲስ,P,,,,
Assignment Assistant,የምደባ ረዳት,U,,,,
Assignment Editor,የምደባ አርታዒ,U,,,,
Assistance Cashier,የእርዳታ ገንዘብ ተቀባይ,U,,,,
Assistance chef,የረዳት ሼፍ,P,,,,
Assistance civil engineer,እርዳታ ሲቪል መሐንዲስ,P,,,,
Assistance Coordinator (Data to Action and Maternal Immunization Study),የእርዳታ አስተባባሪ (የድርጊት እና የእናቶች የክትባት ጥናት መረጃ),U,,,,
Assistance corporate sales,የድርጅት ሽያጭ እገዛ,U,,,,
Assistant 3rd Party Recovery Officer,ረዳት 3ኛ ወገን ማግኛ ኦፊሰር,p,,,,
Assistant accountant,ረዳት አካውንታንት,p,,,,
Auditor,ኦዲተር,p,,,,
Assistant A/C Technician,ረዳት የኤ/ሲ ቴክኒሻን,p,,,,
Assistant Admin and Finance Manager (Internship),ረዳት አስተዳዳሪ እና ፋይናንስ አስተዳዳሪ (ኢንተርንሺፕ),p,,,,
Assistant and Main KG teacher,ረዳት እና ዋና ኬጂ መምህር,p,,,,
Assistant Animation story writer/creator,ረዳት አኒሜሽን ታሪክ ጸሐፊ/ፈጣሪ,p,,,,
Assistant Architect,ረዳት አርክቴክት,p,,,,
Assistant Auditor,ረዳት ኦዲተር,p,,,,
Assistant Blowing Machine Operator,ረዳት የሚነፋ ማሽን ኦፕሬተር,p,,,,
Assistant Branch Manager (Coffee Washing Station),ረዳት ቅርንጫፍ ሥራ አስኪያጅ (የቡና ማጠቢያ ጣቢያ),p,,,,
Assistant Building Manager,ረዳት የግንባታ ሥራ አስኪያጅ,p,,,,
Assistant Business Operation manager,ረዳት የንግድ ሥራ አስኪያጅ,p,,,,
Assistant Call Center Representative,የረዳት የጥሪ ማእከል ተወካይ,p,,,,
Assistant Chief for Burger & Pizza,የበርገር እና ፒዛ ረዳት ዋና,p,,,,
Assistant Clerk at the Visa and Consular Section,በቪዛ እና ቆንስላ ክፍል ረዳት ሰራተኛ,p,,,,
Assistant Clerks at the Visa and Consular Section,በቪዛ እና ቆንስላ ክፍል ውስጥ ረዳት ፀሐፊዎች,p,,,,
Assistant Client Communication Specialist (English fluent),የረዳት ደንበኛ ግንኙነት ባለሙያ (እንግሊዝኛ አቀላጥፎ የሚያውቅ),p,,,,
Assistant Core Driller,ረዳት ኮር Driller,p,,,,
Assistant cosmetic chemist,ረዳት ኮስሜቲክስ ኬሚስት,u,,,,
Assistant CRM Officer,ረዳት CRM መኮንን,p,,,,
Assistant Custodian,ረዳት ጠባቂ,,,,,
Assistant Electrical Supervisor,ረዳት የኤሌክትሪክ ተቆጣጣሪ,p,,,,
Assistant Engineering Officer,ረዳት ምህንድስና ኦፊሰር,p,,,,
Assistant ERP Support Specialist (It has been re-advertising as insufficient applicants were not found in the previous advertisement.),ረዳት የኢአርፒ ድጋፍ ስፔሻሊስት,p,,,,
Assistante sales,ሽያጭ ድጋፍ ሰጭ,u,,,,
Assistant Excutive Manger,ረዳት ኤክስኩቲቭ ማንጀር,p,,,,
Assistant Farm Manager,ረዳት የእርሻ ሥራ አስኪያጅ,p,,,,
Assistant fashion designer,ረዳት ፋሽን ዲዛይነር,p,,,,
Assistant Food and Beverage control Clerk,የምግብ እና መጠጥ ቁጥጥር ረዳት ሰራተኛ,p,,,,
Assistant Food and Beverage Manager,ረዳት የምግብ እና መጠጥ አስተዳዳሪ,p,,,,
Assistant for Booking and Scheduling Meetings,ለስብሰባ ቦታ ማስያዝ እና መርሐግብር ረዳት,p,,,,
Assistant for call center,የጥሪ ማእከል ረዳት,p,,,,
Assistant for Dump tracks,ለቆሻሻ ትራኮች ረዳት,I,,,,
Assistant foreman,ረዳት ፎርማን,P,,,,
Assistant for Excutive Producer,ለ Excutive Producer ረዳት,P,,,,
Assistant for Follow-Up,ለክትትል ረዳት,U,,,,
Assistant for Loader and Excavator,ለጫኚ እና ኤክስካቫተር ረዳት,I,,,,
Assistant for processing visa applicants,ቪዛ አመልካቾችን ለማስኬድ ረዳት,P,,,,
Assistant Front Office Manager,የፊት ጽሕፈት ቤት ረዳት ረዳት,P,,,,
Assistant Functional Consultant,ረዳት ተግባራዊ አማካሪ,P,,,,
Assistant Furniture Site Technician,ረዳት የቤት እቃዎች ጣቢያ ቴክኒሻን,U,,,,
Assistant General Manager,ረዳት ዋና ሥራ አስኪያጅ,P,,,,
Assistant General Mechanic,ረዳት ጄኔራል መካኒክ,P,,,,
Assistant Graphic Designer,ረዳት ግራፊክ ዲዛይነር,P,,,,
Assistant GSE Operator,ረዳት GSE ኦፕሬተር,P,,,,
Assistant GSE Operator (Airside Driver),ረዳት ጂኤስኢ ኦፕሬተር (የአየር ላይ ሾፌር),P,,,,
Assistant Guard shift supervisor,የረዳት ጠባቂ ፈረቃ ተቆጣጣሪ,U,,,,
Assistant hotel manager,ረዳት የሆቴል ሥራ አስኪያጅ,P,,,,
Assistant Housekeeping & Laundry Manager,ረዳት የቤት አያያዝ እና የልብስ ማጠቢያ አስተዳዳሪ,U,,,,
Assistant HR Manager,ረዳት የሰው ኃይል አስተዳዳሪ,P,,,,
Assistant HRM Officer,ረዳት HRM መኮንን,P,,,,
Assistant in call centre agent,በጥሪ ማእከል ወኪል ውስጥ ረዳት,P,,,,
Assistant in sales and marketing department ( intern),በሽያጭ እና ግብይት ክፍል ውስጥ ረዳት (ተለማማጅ),U,,,,
Assistant Internal Auditor,ረዳት የውስጥ ኦዲተር,P,,,,
Assistant Internet and movie center attendant,ረዳት የበይነመረብ እና የፊልም ማእከል ረዳት,U,,,,
Assistant Inventory Auditor,ረዳት ኢንቬንቶሪ ኦዲተር,P,,,,
Assistant IT Coordinator & Librarian,ረዳት የአይቲ አስተባባሪ እና ላይብረሪያን,P,,,,
Assistant IT Expert,ረዳት የአይቲ ባለሙያ,P,,,,
Assistant Laboratory Technical,ረዳት ላቦራቶሪ ቴክኒካል,P,,,,
Assistant Lawyer,ረዳት ጠበቃ,P,,,,
Assistant legal and Liaison Officer,ረዳት የህግ እና ግንኙነት ኦፊሰር,P,,,,
Assistant/ Liaison officer,ረዳት/ግንኙነት መኮንን,P,,,,
Assistant Librarian,ረዳት ላይብረሪያን,P,,,,
Assistant Lobed Operator,ረዳት ሎቤድ ኦፕሬተር,P,,,,
Assistant Lodge Manager,የረዳት ሎጅ አስተዳዳሪ,P,,,,
Assistant Logistic Officer,ረዳት የሎጂስቲክስ ኦፊሰር,U,,,,
Assistant Machine operator,ረዳት ማሽን ኦፕሬተር,P,,,,
"Assistant Manager, Customer Service and Operation, Grade D",ረዳት አስተዳዳሪ፣ የደንበኞች አገልግሎት እና ኦፕሬሽን፣ ክፍል ዲ,P,,,,
"Assistant Manager, Finance Department","ረዳት አስተዳዳሪ, የፋይናንስ መምሪያ",P,,,,
"Assistant Manager, Group Conference & Events Sales",ረዳት አስተዳዳሪ፣ የቡድን ጉባኤ እና የክስተት ሽያጮች,P,,,,
"Assistant Manager Logistics, Warehouse & Customer Service",የረዳት አስተዳዳሪ ሎጅስቲክስ፣ መጋዘን እና የደንበኛ አገልግሎት,P,,,,
"Assistant Manager, Paint & Plastic Factory",ረዳት አስተዳዳሪ፣ ቀለም እና ፕላስቲክ ፋብሪካ,P,,,,
Assistant Marketing Manager,ረዳት ግብይት አስተዳዳሪ,P,,,,
Assistant Matron,ረዳት ማትሮን,P,,,,
Assistant Meal Packaging Operator,የረዳት ምግብ ማሸጊያ ኦፕሬተር,U,,,,
Assistant Mechanical Supervisor,ረዳት መካኒካል ሱፐርቫይዘር,P,,,,
Assistant Monitoring and Evaluation,የረዳት ክትትል እና ግምገማ,P,,,,
Assistant MPFC Officers,ረዳት MPFC መኮንኖች,P,,,,
Assistant Networking and Security Officer,ረዳት የአውታረ መረብ እና የደህንነት ኦፊሰር,P,,,,
Assistant office engineer,ረዳት የቢሮ መሐንዲስ,P,,,,
Assistant office manager,ረዳት የቢሮ ሥራ አስኪያጅ,P,,,,
Assistant of Registrar head,የመዝጋቢ ኃላፊ ረዳት,P,,,,
Assistant operation and liaison officer,ረዳት ኦፕሬሽን እና ግንኙነት ኦፊሰር,P,,,,
Assistant Operation Department Manager,ረዳት ኦፕሬሽን ዲፓርትመንት ሥራ አስኪያጅ,P,,,,
Assistant Packer Machine Operator,ረዳት ፓከር ማሽን ኦፕሬተር,P,,,,
Assistant Palletizer Operator,ረዳት ፓሌይዘር ኦፕሬተር,P,,,,
Assistant Physiotherapist,ረዳት ፊዚዮቴራፒስት,P,,,,
Assistant Primary Health Care (PHC) Coordinator,ረዳት የመጀመሪያ ደረጃ የጤና እንክብካቤ (PHC) አስተባባሪ,P,,,,
Assistant procurement specialist,ረዳት የግዥ ባለሙያ,P,,,,
Assistant Production and Technical Head,ረዳት ምርት እና ቴክኒካል ኃላፊ,P,,,,
Assistant Production Manager,ረዳት ፕሮዳክሽን ሥራ አስኪያጅ,P,,,,
Assistant professor,ረዳት ፕሮፌሰር,P,,,,
Assistant Professor or Associate Professor in ENT,በ ENT ውስጥ ረዳት ፕሮፌሰር ወይም ተባባሪ ፕሮፌሰር,P,,,,
Assistant Professor or Associate Professor in Gastroenterology,በ Gastroenterology ውስጥ ረዳት ፕሮፌሰር ወይም ተባባሪ ፕሮፌሰር,P,,,,
Assistant Professor or Associate Professor in Medical Oncology,በሕክምና ኦንኮሎጂ ውስጥ ረዳት ፕሮፌሰር ወይም ተባባሪ ፕሮፌሰር,P,,,,
Assistant Professor or Associate Professor in Pediatrics or Neurology,በሕፃናት ሕክምና ወይም በኒውሮሎጂ ውስጥ ረዳት ፕሮፌሰር ወይም ተባባሪ ፕሮፌሰር,P,,,,
Assistant Professor or Associate Professor in Urology,በኡሮሎጂ ውስጥ ረዳት ፕሮፌሰር ወይም ተባባሪ ፕሮፌሰር,P,,,,
Assistant project manager,ረዳት ፕሮጀክት አስተዳዳሪ,P,,,,
Assistant Project Manager for Personal Development Class,ለግል ልማት ክፍል ረዳት የፕሮጀክት ሥራ አስኪያጅ,P,,,,
Assistant Project Officer (Assosa),ረዳት ፕሮጀክት ኦፊሰር (ተባባሪ),P,,,,
Assistant property manager,ረዳት ንብረት አስተዳዳሪ,P,,,,
Assistant Protection and Inclusion Officer,የረዳት ጥበቃ እና ማካተት መኮንን,U,,,,
Assistant Quality Controller (Food Sector),ረዳት የጥራት ተቆጣጣሪ (የምግብ ዘርፍ),P,,,,
Assistant Researcher: Bioinformatics,ረዳት ተመራማሪ፡ ባዮኢንፎርማቲክስ,P,,,,
"Assistant Researcher II, Laboratory technologist/Microbiologist","ረዳት ተመራማሪ II, የላቦራቶሪ ቴክኖሎጂ ባለሙያ / ማይክሮባዮሎጂስት",P,,,,
Assistant Researcher (Laboratory Logistics and Quality Management),ረዳት ተመራማሪ የላቦራቶሪ ሎጂስቲክስ እና የጥራት አስተዳደር,P,,,,
Assistant Researcher (Medical Laboratory),ረዳት ተመራማሪ (የሕክምና ላቦራቶሪ),P,,,,
Assistant Researcher (Public Health),ረዳት ተመራማሪ (የህዝብ ጤና),P,,,,
Assistant Research Officer,ረዳት የምርምር ኦፊሰር,P,,,,
"Assistant Research, Social science","ረዳት ምርምር, ማህበራዊ ሳይንስ",P,,,,
Assistant Security Manager,ረዳት ደህንነት አስተዳዳሪ,P,,,,
Assistant Site Engineer,ረዳት ጣቢያ መሐንዲስ,P,,,,
Assistant Software Developer,ረዳት ሶፍትዌር ገንቢ,P,,,,
Assistant Spare Parts & General Items Store Keeper,ረዳት መለዋወጫ እና አጠቃላይ እቃዎች መደብር ጠባቂ,P,,,,
Assistant Stationary Concrete Pump Operator,ረዳት የጽህፈት መሳሪያ ኮንክሪት ፓምፕ ኦፕሬተር,P,,,,
Assistant Station Duty Officer,የረዳት ጣቢያ ተረኛ መኮንን,U,,,,
Assistant teacher in ICT field,በአይሲቲ መስክ ረዳት መምህር,P,,,,
Assistant technician,ረዳት ቴክኒሻን,P,,,,
Assistant Technician to veterinary drug store,የእንስሳት መድኃኒት መደብር ረዳት ቴክኒሻን,P,,,,
Assistant Technic Manager,ረዳት ቴክኒክ አስተዳዳሪ,P,,,,
Assistant Tender Officer,ረዳት የጨረታ ኦፊሰር,P,,,,
Assistant to Dean of the College,የኮሌጁ ዲን ረዳት,P,,,,
Assistant to Managing Director,የማኔጅመንት ዳይሬክተር ረዳት,P,,,,
Assistant to Production Manager,የምርት ሥራ አስኪያጅ ረዳት,P,,,,
Assistant to the African Union Team,ለአፍሪካ ህብረት ቡድን ረዳት,P,,,,
Assistant Towing Machine Operator,ረዳት ተጎታች ማሽን ኦፕሬተር,P,,,,
Assistant Transitor,ረዳት ትራንዚተር,P,,,,
Assistant Transport Coordinated,የረዳት ትራንስፖርት የተቀናጀ,P,,,,
Assistant Transport Manager,ረዳት የትራንስፖርት ሥራ አስኪያጅ,P,,,,
Assistant Travel agent,ረዳት የጉዞ ወኪል,P,,,,
Assistant Treatment Machine Operator,የረዳት ሕክምና ማሽን ኦፕሬተር,P,,,,
Assistant Truck Dispatcher,ረዳት የጭነት መኪና አስተላላፊ,U,,,,
Assistant Underwriting Officer (Life Insurance),ረዳት የመጻፍ ኦፊሰር (የሕይወት ኢንሹራንስ),P,,,,
Assistant Utility Operator,ረዳት መገልገያ ኦፕሬተር,P,,,,
Assistant veterinary doctor,ረዳት የእንስሳት ሐኪም,P,,,,
Assistant Welder,ረዳት ዌልደር,U,,,,
Assistant WordPress Developer,ረዳት የዎርድፕረስ ገንቢ,P,,,,
Assist Marketing Manager,የግብይት አስተዳዳሪን ረዳት,P,,,,
Associate Brand and Promotion Officer,ተባባሪ ብራንድ እና ማስተዋወቂያ ኦፊሰር,P,,,,
Associate-Business Process Solution,ተባባሪ-የንግድ ሂደት መፍትሄ,P,,,,
Associate Call Center Manager,ተባባሪ የጥሪ ማዕከል አስተዳዳሪ,P,,,,
Associate Consultant,ተባባሪ አማካሪ,P,,,,
Associate Credit Analyst,ተባባሪ ክሬዲት ተንታኝ,P,,,,
Associate Customer Relationship Manager (IFB),ተባባሪ የደንበኛ ግንኙነት አስተዳዳሪ (IFB),P,,,,
Associate Database Admin,ተባባሪ የውሂብ ጎታ አስተዳዳሪ,U,,,,
Associate Development Officer,ተባባሪ ልማት ኦፊሰር,U,,,,
Associate Digital Service Officer,ተባባሪ ዲጂታል አገልግሎት ኦፊሰር,P,,,,
Associate ERP Support Specialist (It has been re-advertising as insufficient applicants were not found in the previous advertisement.),ተባባሪ የኢአርፒ ድጋፍ ስፔሻሊስት,P,,,,
Associate Finance Manager,ተባባሪ ፋይናንስ አስተዳዳሪ,P,,,,
Associate Functional Consultant,ተባባሪ ተግባራዊ አማካሪ,P,,,,
"Associate, Health Financing","ተባባሪ, የጤና ፋይናንስ",P,,,,
"Associate Human Rights Officer, Monitoring & Investigation",ተባባሪ የሰብአዊ መብት ኦፊሰር፣ ክትትል እና ምርመራ,P,,,,
"Associate Human Rights Officer, Socio-Economic Rights","ተባባሪ የሰብአዊ መብቶች ኦፊሰር, ማህበራዊ-ኢኮኖሚያዊ መብቶች",P,,,,
Associate II - Business Development,ተባባሪ II - የንግድ ልማት,P,,,,
Associate I - IT Administrator,ተባባሪ I - የአይቲ አስተዳዳሪ,P,,,,
Associate Inspector,ተባባሪ ኢንስፔክተር,P,,,,
Associate Interface & Program Development Officer,ተባባሪ በይነገጽ እና ፕሮግራም ልማት ኦፊሰር,P,,,,
Associate I-Risk and Legal,ተባባሪ I-አደጋ እና ህጋዊ,P,,,,
Associate IT Security,ተባባሪ የአይቲ ደህንነት,P,,,,
Associate IT Service Desk Officer,ተባባሪ የአይቲ አገልግሎት ዴስክ ኦፊሰር,P,,,,
Associate KYC Officer,ተባባሪ የKYC ኦፊሰር,P,,,,
Associate Language Instructor,ተባባሪ ቋንቋ አስተማሪ,P,,,,
Associate of Information Technology.,የኢንፎርሜሽን ቴክኖሎጂ ተባባሪ,P,,,,
Associate product development manager,የምርት ልማት ሥራ አስኪያጅ ተባባሪ,P,,,,
"Associate Program Manager, SOS Family Care",የኤስኦኤስ ቤተሰብ እንክብካቤ ተባባሪ ፕሮግራም አስተዳዳሪ,P,,,,
Associate Property Manager,ተባባሪ ንብረት አስተዳዳሪ,P,,,,
"Associate Protection Officer (Expert on Rights of Refugees, IDPs, and Transitional Justice), UNOPS, LICA-9 (External)",ተባባሪ ጥበቃ ኦፊሰር (የስደተኞች፣ ተፈናቃዮች እና የሽግግር ፍትህ መብቶች ኤክስፐርት),P,,,,
Associate Recruitment officer,ተባባሪ የቅጥር መኮንን,P,,,,
Associate registrar Head,ተባባሪ ሬጅስትራር ኃላፊ,P,,,,
Associate Researcher II,ተባባሪ ተመራማሪ II,P,,,,
Associate Software Engineer,ተባባሪ ሶፍትዌር መሐንዲስ,P,,,,
Associate Training officer,ተባባሪ የሥልጠና መኮንን,P,,,,
Associate - Transaction Advisory Services,ተባባሪ - የግብይት አማካሪ አገልግሎቶች,P,,,,
"Ass. Section Manager, Automotive Sales","አስ. ክፍል አስተዳዳሪ, አውቶሞቲቭ ሽያጭ",P,,,,
Asst. Director of Sales & Marketing,አስት የሽያጭ እና ግብይት ዳይሬክተር,P,,,,
Astronomy Teacher,የስነ ፈለክ መምህር,P,,,,
ATM and POS Engineer,ኤቲኤም እና POS መሐንዲስ,P,,,,
ATM Technical and System Specialist II (Head Office),የኤቲኤም ቴክኒክ እና ሲስተም ስፔሻሊስት II,P,,,,
Attorney and Company Secretary,ጠበቃ እና ኩባንያ ጸሐፊ,P,,,,
Attorney and Corporate Counsel,ጠበቃ እና የድርጅት አማካሪ,P,,,,
Attorney I,ጠበቃ I,P,,,,
Attorney Litigation- Addis Ababa,የአቃቤ ህግ ክርክር,P,,,,
Audio Advert,የድምጽ ማስታወቂያ,P,,,,
Audio and Video Editor,ኦዲዮ እና ቪዲዮ አርታዒ,P,,,,
"Audiobook Director, Supervisor",የኦዲዮ መጽሐፍ ዳይሬክተር ፣ ተቆጣጣሪ,P,,,,
Audio book narrator,የድምጽ መጽሐፍ ተራኪ,P,,,,
Audio Engnieer/Techician,ኦዲዮ ኢንጂነር / ቴክኒሻን,P,,,,
Audio Narrator for youtube,የድምጽ ተራኪ ለዩቲዩብ,P,,,,
Audio production & social media technician.,የድምጽ ፕሮዳክሽን እና የማህበራዊ ሚዲያ ቴክኒሽያን,P,,,,
Audio technican,የድምጽ ቴክኒሻን,P,,,,
Audio/Video Production Intern(Paid),ኦዲዮ/ቪዲዮ ፕሮዳክሽን intern,P,,,,
Audio Visual Editor,ኦዲዮ ቪዥዋል አርታዒ,P,,,,
Audio Visual & Media Documentation Expert,ኦዲዮ ቪዥዋል እና የሚዲያ ሰነድ ባለሙያ,P,,,,
Audio – Visual Officer,ኦዲዮ - የእይታ መኮንን,P,,,,
Audio Visual Technician,ኦዲዮ ቪዥዋል ቴክኒሽያን,P,,,,
Audit and Compliance Coordinator,የኦዲት እና ተገዢነት አስተባባሪ,P,,,,
Audit assistant,የኦዲት ረዳት,P,,,,
Audit Chief Officer,የኦዲት ዋና ኦፊሰር,P,,,,
Audit Finding Monitoring and Report Preparation Senior Auditor II,የኦዲት ፍለጋ ክትትል እና ሪፖርት ዝግጅት ሲኒየር ኦዲተር II,P,,,,
Audit Manager,የኦዲት ሥራ አስኪያጅ,P,,,,
Auditor I,ኦዲተር I,P,,,,
Auditor Service Department Deputy Head,የኦዲተር አገልግሎት መምሪያ ምክትል ኃላፊ,P,,,,
Auditor– TLMI Ethiopia Accounts,ኦዲተር- TLMI መለያዎች,p,,,,
"Audit, Risk Management and Compliance Division Head",ኦዲት፣ ስጋት አስተዳደር እና ተገዢነት ክፍል ኃላፊ,p,,,,
Audit Service head,የኦዲት አገልግሎት ኃላፊ,p,,,,
Autistic Child Caretaker,ኦቲስቲክ የልጅ ተንከባካቢ,p,,,,
Auto Battery technician/ Auto Electrician,የመኪና ባትሪ ቴክኒሻን / አውቶ ኤሌክትሪክ ባለሙያ,p,,,,
Auto Body Repair and Welder,የመኪና አካል ጥገና እና ብየዳ,p,,,,
Auto Body Shop Controller,የመኪና አካል ሱቅ መቆጣጠሪያ,u,,,,
Autocad Designer and Machine operator,አውቶካድ ዲዛይነር እና የማሽን ኦፕሬተር,p,,,,
AUTOCAD DESSIGN,AUTOCAD ንድፍ,p,,,,
AutoCAD Instructor,AutoCAD አስተማሪ,p,,,,
AutoCad / Revit Draftsman,AutoCad / Revit Draftsman,p,,,,
Autodesk Revit and 3D max Teacher,Autodesk Revit እና 3D max Teacher,p,,,,
Auto Electrician,የመኪና ኤሌክትሪክ ባለሙያ,p,,,,
"Auto Garage Manager, Mechanical Execution and Mobile Equipment Maintenance",የመኪና ጋራዥ ስራ አስኪያጅ፣ ሜካኒካል አፈፃፀም እና የሞባይል መሳሪያዎች ጥገና,p,,,,
Automation and Computer science expert,አውቶሜሽን እና የኮምፒውተር ሳይንስ,p,,,,
Automation Engineer,አውቶሜሽን መሐንዲስ,p,,,,
Auto Mechanic Technician,የመኪና መካኒክ ቴክኒሻን,p,,,,
Auto mechanic trainee,የመኪና መካኒክ ሰልጣኝ,u,,,,
Automotive,አውቶሞቲቭ,p,,,,
Automotive Content writer,አውቶሞቲቭ ይዘት ጸሐፊ,p,,,,
Automotive Electrician,አውቶሞቲቭ ኤሌክትሪክ ባለሙያ,p,,,,
Automotive Mechanical Engineer,አውቶሞቲቭ ሜካኒካል መሐንዲስ,p,,,,
Automotive Workshop Manager,አውቶሞቲቭ ወርክሾፕ አስተዳዳሪ,p,,,,
Automotive Workshop Supervisor,አውቶሞቲቭ ወርክሾፕ ተቆጣጣሪ,P,,,,
Automtive Manager,አውቶሞቲቭ አስተዳዳሪ,P,,,,
Auxiliary Machine Mechanic,ረዳት ማሽን ሜካኒክ,P,,,,
Auxiliary Machine Operator,ረዳት ማሽን ኦፕሬተር,P,,,,
a Volunteer Design Project Proposals and Organizational Development,የበጎ ፈቃደኞች ዲዛይን ፕሮጀክት ፕሮፖዛል እና ድርጅታዊ ልማት,P,,,,
Award ceremony announcer,የሽልማት ሥነ ሥርዓት አስተዋዋቂ,P,,,,
AWD Response Regional Coordinator,AWD ምላሽ የክልል አስተባባሪ,P,,,,
A web developer,የድር ገንቢ,P,,,,
A working VAS software,የሚሰራ VAS ሶፍትዌር,P,,,,
AWS Cloud Engineer,AWS ደመና መሐንዲስ,P,,,,
AWS DevOps Engineer,AWS DevOps መሐንዲስ,P,,,,
Aws DevOps Engineer and Backend Developer with Django,አውስ ዴቭኦፕስ መሐንዲስ እና የኋላ ገንቢ ከጃንጎ ጋር,P,,,,
Axillary Mechanic,Axillary መካኒክ,P,,,,
AYSRH Project Manager,AYSRH ፕሮጀክት አስተዳዳሪ,P,,,,
B2B & B2C Telesales Executive,B2B & B2C የቴሌሻሌክስ ሥራ አስፈፃሚ,P,,,,
B2B (business to business) Sales Agent,B2B (ንግድ ለንግድ) የሽያጭ ወኪል,P,,,,
B2B Lead Generation Specialist.,B2B አመራር ትውልድ ስፔሻሊስት.,P,,,,
Babies photo editor,የሕፃናት ፎቶ አርታዒ,P,,,,
baby and patient sitter,ሕፃን እና ታካሚ ተቀባይ,P,,,,
Baby shower décor,የሕፃን ሻወር ማስጌጥ,P,,,,
Babysitter,ሞግዚት,U,,,,
Baching Plant Operator,የ Baching ተክል ኦፕሬተር,U,,,,
Backdoor developer for android,የኋላ በር ገንቢ ለ android,P,,,,
backend and frontnd software devloper,የኋላ እና የፊት ለፊት ሶፍትዌር ገንቢ,P,,,,
Backend / API Developer,የጀርባ / ኤፒአይ ገንቢ,P,,,,
Backend/API Tester with Django and Django rest framework,የጀርባ/ኤፒአይ ሞካሪ ከጃንጎ እና ጃንጎ እረፍት ማዕቀፍ ጋር,P,,,,
Back End Developer for a Jobboard Website,የኋላ መጨረሻ ገንቢ ለስራ ሰሌዳ ድርጣቢያ,P,,,,
Backend Developer (Laravel FW),የኋላ ገንቢ (Laravel FW),P,,,,
Back End Developer(Micro Service Experience ),የኋላ መጨረሻ ገንቢ(የማይክሮ አገልግሎት ልምድ),P,,,,
Backend Developer ( Node.js & MongoDb ) Intern,የጀርባ ገንቢ ( Node.js & MongoDb ) Intern,P,,,,
Backend Developer | Payment Integrator Expert,የጀርባ ገንቢ | የክፍያ ኢንቴግሬተር ባለሙያ,P,,,,
Backend Developer with JS + Firebase,የጀርባ ገንቢ ከJS + Firebase ጋር,P,,,,
Back End Developer(WIth Micro Service Experience ),የኋላ መጨረሻ ገንቢ(ከማይክሮ አገልግሎት ልምድ),P,,,,
Backend Developer with NestJs and/or,የጀርባ ገንቢ ከNestJs እና/ወይም ጋር,P,,,,
Backend developer with .NET experience,የኋላ ገንቢ ከ NET ተሞክሮ ጋር,P,,,,
BackEnd Django (Python) developer,BackEnd Django (Python) ገንቢ,P,,,,
Backend engineer,የኋላ መሐንዲስ,P,,,,
Backend / Fullstack Developer,የኋላ / ሙሉ ቁልል ገንቢ,P,,,,
Backend Node Developer,የጀርባ መስቀለኛ መንገድ ገንቢ,P,,,,
Backend Node.js Developer,የጀርባ Node.js ገንቢ,P,,,,
Backend PHP Laravel API Developer,Backend PHP Laravel API ገንቢ,P,,,,
Backend Programmer,የኋላ ፕሮግራመር,P,,,,
Backend Python developer,Backend Python ገንቢ,P,,,,
Backend python developer and cloud engineer,የጀርባ ፓይቶን ገንቢ እና የደመና መሐንዲስ,P,,,,
Backend QA Tester,የጀርባ QA ሞካሪ,P,,,,
